HMDB03598	C02075
HMDB14954	C07144
HMDB15421	C06879
HMDB12247	C03340
HMDB02500	C01324
HMDB00910	C17076
HMDB31265	C14696
HMDB35188	C19958
HMDB00879	C13713
HMDB60198	C16169
HMDB10386	C04100
HMDB12189	C16565
HMDB14761	C07010
HMDB00268	C05476
HMDB15466	C07592
HMDB00132	C00242
HMDB06048	C14475
HMDB34939	C19736
HMDB36089	C18025;C09868
HMDB01296	C02052
HMDB01929	C07660
HMDB36680	C16946
HMDB41527	C15792
HMDB14826	C07908
HMDB11599	C02216
HMDB30554	C14154
HMDB04110	C05682
HMDB38931	C10884
HMDB30354	C09912
HMDB00257	C00320
HMDB06335	C14152
HMDB02710	C05957
HMDB15304	C07935
HMDB01088	C00136
HMDB01039	C01328
HMDB01562	C03479
HMDB05102	C06438
HMDB60406	C12739
HMDB06840	C15915
HMDB00787	C00272
HMDB00027	C00272
HMDB59658	C00272
HMDB13854	C13061
HMDB35807	C00887
HMDB04290	C06051
HMDB01008	C00500
HMDB30096	C16289
HMDB06485	C03204
HMDB01922	C06922
HMDB29437	C01683
HMDB31810	C11285
HMDB12129	C09817
HMDB40940	C17515
HMDB06523	C02249
HMDB35164	C17645
HMDB00037	C01780
HMDB01183	C00756
HMDB31800	C18661
HMDB29751	C00829
HMDB13692	C18167
HMDB04821	C20384
HMDB14891	C07518
HMDB38578	C05306
HMDB11618	C15492
HMDB14794	C07156
HMDB06228	C18231
HMDB31344	C06105
HMDB01338	C00154
HMDB14763	C08088
HMDB33733	C15770
HMDB15270	C06896
HMDB30451	C06896
HMDB14901	C07190
HMDB13645	C13914
HMDB30213	C09558
HMDB05049	C13800
HMDB30111	C10457
HMDB12258	C07294
HMDB01320	C04654
HMDB41965	C14403
HMDB35622	C11408
HMDB11105	C16365
HMDB15527	C07366
HMDB01016	C03492
HMDB01414	C00134
HMDB00400	C01292
HMDB00151	C00951
HMDB00535	C01585
HMDB14909	C07853
HMDB12238	C00708
HMDB38003	C20491
HMDB14716	C07184
HMDB12329	C16683
HMDB34745	C08945
HMDB31783	C18985
HMDB11690	C16675
HMDB40733	C00548
HMDB01419	C13550
HMDB03052	C00424
HMDB01292	C06257
HMDB60661	C16542
HMDB00478	C17687
HMDB11614	C02241
HMDB34695	C08796
HMDB01496	C03594
HMDB59592	C03594
HMDB14929	C11686
HMDB03646	C02565
HMDB00086	C00670
HMDB04327	C06142
HMDB01512	C03028
HMDB32702	C14752
HMDB03288	C05688
HMDB30251	C06175
HMDB06870	C05998
HMDB41922	C08737
HMDB31848	C15469
HMDB01926	C07534
HMDB29915	C06352
HMDB34360	C10108
HMDB13188	C18620
HMDB01358	C00376
HMDB31805	C18663
HMDB15232	C07566
HMDB14441	C07532
HMDB14904	C06662
HMDB01659	C00207
HMDB05811	C09732
HMDB34453	C04486
HMDB29247	C16301
HMDB60330	C14803
HMDB01162	C15672
HMDB37044	C09896
HMDB42046	C19557
HMDB00294	C00086
HMDB02656	C04685
HMDB33940	C08993
HMDB03601	C02105;C12328
HMDB00032	C01164
HMDB15195	C07360
HMDB29188	C20448
HMDB02432	C20448
HMDB30352	C10128
HMDB00803	C03878
HMDB02329	C00209
HMDB12303	C00935
HMDB01977	C14809
HMDB03536	C01344
HMDB12233	C03273
HMDB00121	C00504
HMDB14972	C07652
HMDB29523	C08244
HMDB01373	C00882
HMDB01371	C00697
HMDB15221	C06541
HMDB01005	C00603
HMDB30818	C09311
HMDB33713	C01875
HMDB00014	C00881
HMDB12221	C08543
HMDB15152	C07225
HMDB41633	C11392
HMDB06849	C15781
HMDB00873	C06730
HMDB33270	C10883
HMDB06842	C05439
HMDB59615	C05439;C05104
HMDB33439	C09592
HMDB03116	C07311
HMDB30693	C16312
HMDB00205	C00166
HMDB29875	C10868
HMDB14790	C07421
HMDB01495	C01449
HMDB00192	C00491
HMDB15119	C08155
HMDB04667	C14762
HMDB36079	C18018
HMDB34534	C17543
HMDB60520	C02090
HMDB04043	C09902;C16772
HMDB31817	C06576
HMDB00792	C08277
HMDB30351	C10642
HMDB00981	C15816
HMDB06838	C15816
HMDB33002	C11115
HMDB00662	C00742
HMDB40920	C08484
HMDB13035	C06606
HMDB03422	C20144
HMDB00887	C06767
HMDB15682	C12389
HMDB36591	C01902
HMDB04086	C05648
HMDB04220	C05921
HMDB32179	C18706
HMDB14343	C08092
HMDB36811	C09118
HMDB11133	C03805
HMDB14369	C07051
HMDB60683	C16655
HMDB11106	C04732
HMDB34934	C00844
HMDB14869	C12508
HMDB12267	C04421
HMDB30092	C08376
HMDB14363	C07663
HMDB60462	C16612
HMDB31581	C14452
HMDB12289	C03972
HMDB60479	C14874
HMDB41658	C10510
HMDB29867	C16975
HMDB34652	C17420
HMDB14390	C06846
HMDB37982	C12095
HMDB00978	C01252
HMDB34843	C10501
HMDB37953	C14079
HMDB34125	C10486
HMDB12145	C09819
HMDB41803	C16659
HMDB36130	C09600
HMDB02937	C10188
HMDB15469	C07995
HMDB00064	C00300
HMDB30075	C10100
HMDB04628	C06696
HMDB36836	C09071
HMDB00814	C04132
HMDB00863	C01845
HMDB33491	C20012
HMDB01123	C00108
HMDB60502	C03313
HMDB01889	C07130
HMDB01547	C02140
HMDB00095	C00055
HMDB06953	C01194
HMDB37525	C18137
HMDB12143	C05252
HMDB60282	C01368
HMDB38036	C19318
HMDB01392	C00568
HMDB14764	C15482
HMDB03391	C00631
HMDB06268	C06241
HMDB04381	C06241
HMDB36232	C00922
HMDB34317	C10404
HMDB14803	C08164
HMDB04136	C16884
HMDB59620	C15650
HMDB31526	C02223
HMDB32063	C14200
HMDB59597	C00080
HMDB33776	C10429
HMDB34454	C04485
HMDB02303	C00580
HMDB31152	C16323
HMDB00306	C00483
HMDB01898	C05790
HMDB00442	C03197
HMDB60327	C14805
HMDB33341	C20046
HMDB01143	C01243
HMDB14892	C07839
HMDB01499	C03117
HMDB14956	C07523
HMDB06240	C13008
HMDB00375	C11457
HMDB02776	C04671
HMDB60297	C12632
HMDB05016	C07187
HMDB01033	C11481
HMDB00801	C01607
HMDB14707	C06895
HMDB60136	C15518
HMDB34853	C10914
HMDB59647	C20198
HMDB30184	C09549
HMDB60377	C16330
HMDB14965	C08052
HMDB34929	C20195
HMDB36619	C10028
HMDB01199	C03415
HMDB33966	C08369
HMDB14982	C07251
HMDB32523	C19524
HMDB01166	C05116;C03561
HMDB59764	C14330
HMDB01257	C00315
HMDB02080	C08363
HMDB00201	C02571
HMDB10574	C13883
HMDB30773	C03840
HMDB34266	C08271
HMDB06556	C05938
HMDB33994	C12125
HMDB00586	C00238
HMDB00319	C01124
HMDB14865	C07455
HMDB15273	C06971
HMDB14574	C13376
HMDB30323	C13782
HMDB11107	C16355
HMDB34970	C11391
HMDB41833	C00813
HMDB11181	C08813
HMDB32865	C14694
HMDB15197	C07056
HMDB06763	C05501
HMDB15497	C14285
HMDB60124	C06028
HMDB00262	C00178
HMDB41937	C16578
HMDB34561	C16947
HMDB00053	C00280
HMDB60450	C00916
HMDB30452	C02010
HMDB29707	C19254
HMDB03416	C00792
HMDB15592	C11168
HMDB01355	C06604
HMDB33212	C02535
HMDB32287	C01913
HMDB04350	C06180
HMDB15292	C07877
HMDB33790	C10379
HMDB00695	C00233
HMDB15343	C06683
HMDB12116	C15786
HMDB12301	C01623
HMDB35478	C10283
HMDB12304	C02330
HMDB15444	C11723
HMDB34435	C09644
HMDB13253	C05135
HMDB04122	C05704
HMDB06242	C05577
HMDB00222	C02990
HMDB01849	C07407
HMDB29407	C08539
HMDB01406	C00153
HMDB41561	C06485
HMDB32985	C04294
HMDB15290	C07515
HMDB36595	C10498
HMDB00639	C00879
HMDB00125	C00051
HMDB06868	C04424
HMDB39487	C08959
HMDB14539	C07927
HMDB14732	C06821
HMDB02189	C01029
HMDB14739	C08146
HMDB31821	C14467
HMDB35798	C09711
HMDB00305	C00473
HMDB03971	C05345
HMDB14964	C08073
HMDB35417	C20243
HMDB60670	C16582
HMDB14875	C07116
HMDB38778	C10246
HMDB31437	C03659
HMDB59644	C04856
HMDB14935	C07147
HMDB33748	C08251
HMDB00643	C05769
HMDB00995	C03207
HMDB34834	C09306
HMDB03484	C01102
HMDB01449	C13712
HMDB13693	C09729
HMDB38215	C09729
HMDB14514	C07570
HMDB00699	C02918
HMDB35873	C10480
HMDB30232	C09720
HMDB36716	C09720
HMDB31864	C10454
HMDB11136	C14749
HMDB01906	C03665
HMDB00854	C00439
HMDB33513	C20018
HMDB00010	C05299
HMDB00133	C00387
HMDB02307	C00894
HMDB00114	C01233
HMDB00139	C00258
HMDB32138	C02201
HMDB03932	C05258
HMDB05808	C00858
HMDB02368	C08323
HMDB33490	C16871
HMDB29638	C06758
HMDB01316	C00345
HMDB60039	C16522
HMDB11114	C16331
HMDB29416	C03884
HMDB06768	C05297
HMDB60511	C11376
HMDB01470	C08279
HMDB13690	C10238
HMDB02741	C08596
HMDB35984	C08788
HMDB15043	C01416
HMDB02520	C02979
HMDB33853	C10739
HMDB32554	C18992
HMDB01852	C00777
HMDB34050	C10523
HMDB29368	C13757
HMDB00071	C05512
HMDB00956	C00898
HMDB29522	C11577
HMDB12278	C04916
HMDB30447	C19955
HMDB14486	C07463
HMDB02985	C01177
HMDB02783	C13526
HMDB03357	C00437
HMDB15655	C07198
HMDB02210	C18623
HMDB01178	C00301
HMDB05874	C17079
HMDB04241	C05962
HMDB00423	C10447
HMDB34073	C08437
HMDB39098	C10316
HMDB32782	C11001
HMDB36728	C11873
HMDB37334	C10191
HMDB04305	C01126
HMDB03447	C00955
HMDB60418	C16618
HMDB32635	C10938
HMDB34418	C08833
HMDB14357	C07465
HMDB14854	C07255
HMDB30791	C09926
HMDB00124	C00085
HMDB03701	C03114
HMDB35710	C09066
HMDB01282	C20190
HMDB04825	C04227
HMDB00676	C01817
HMDB00575	C01817
HMDB13903	C16654
HMDB06235	C04063
HMDB04812	C20450
HMDB00538	C00002
HMDB01913	C07324
HMDB38590	C10653
HMDB14823	C07664
HMDB36081	C19818
HMDB00744	C00149;C00711
HMDB12250	C03082
HMDB04692	C14812
HMDB14723	C07270
HMDB03377	C00531
HMDB14337	C07438
HMDB03944	C05271
HMDB00469	C03088
HMDB02211	C05766
HMDB05781	C14536
HMDB31211	C18124
HMDB15143	C06862
HMDB00500	C00156
HMDB01217	C05103
HMDB05794	C00389
HMDB02174	C05776
HMDB12819	C05651
HMDB01112	C00118;C00661
HMDB34714	C17493
HMDB29620	C10192
HMDB36559	C06307
HMDB06880	C05993
HMDB14995	C08079
HMDB14737	C07521
HMDB01933	C07017
HMDB60358	C14848
HMDB15544	C07771
HMDB14335	C07833
HMDB15182	C07624
HMDB02170	C05989
HMDB01213	C11437
HMDB05010	C07246
HMDB02923	C00252
HMDB14903	C07921
HMDB34780	C20203
HMDB30030	C07288
HMDB00036	C05122
HMDB00670	C01924
HMDB14328	C07514
HMDB12128	C07514
HMDB12715	C16217
HMDB03349	C00337
HMDB00528	C00337
HMDB15424	C06883
HMDB01442	C04741
HMDB06516	C16171
HMDB13742	C20441
HMDB00565	C00880
HMDB14446	C11748
HMDB04705	C14829
HMDB01989	C00753
HMDB15072	C06954
HMDB00484	C06672
HMDB36930	C17956
HMDB35830	C09780
HMDB03818	C04295
HMDB14952	C08169
HMDB06857	C00721
HMDB11756	C02710
HMDB32020	C07453
HMDB41888	C07453
HMDB41135	C17735
HMDB14773	C07370
HMDB00781	C16265
HMDB15418	C12662
HMDB00698	C15557
HMDB15380	C07323
HMDB01554	C00655
HMDB29540	C10112
HMDB33895	C01403
HMDB01939	C07119
HMDB06770	C05293
HMDB60652	C16604
HMDB04366	C06199
HMDB07102	C13861
HMDB14511	C08149
HMDB03905	C05130
HMDB60310	C20238
HMDB03338	C00192
HMDB41942	C11490
HMDB30024	C03963
HMDB03012	C00292
HMDB38121	C20241
HMDB12216	C20300
HMDB30801	C10482
HMDB36003	C20161
HMDB34441	C09996
HMDB12454	C17335
HMDB14457	C07422
HMDB60680	C16571
HMDB30401	C16787
HMDB36074	C08511
HMDB31704	C10674
HMDB05030	C06999
HMDB15517	C07164
HMDB00821	C05598
HMDB34106	C18587
HMDB30637	C01557
HMDB06355	C02670
HMDB15214	C00413
HMDB33453	C10144
HMDB03840	C05172
HMDB06407	C05172
HMDB00243	C00022
HMDB02346	C00827
HMDB60510	C11173
HMDB14774	C06916
HMDB01859	C06804
HMDB01352	C00168
HMDB15113	C07078
HMDB15550	C07457
HMDB01382	C07457
HMDB35762	C08304
HMDB01072	C11378
HMDB33349	C10654
HMDB60308	C16387
HMDB14502	C07633
HMDB06759	C05480
HMDB30328	C10359
HMDB01113	C02939
HMDB33852	C10738
HMDB03379	C00536
HMDB12282	C00536
HMDB00094	C00158
HMDB04696	C14820
HMDB04668	C14765
HMDB00621	C00309
HMDB03502	C01204
HMDB41800	C06602
HMDB01011	C03460
HMDB14736	C07063
HMDB14617	C07844
HMDB01243	C00630
HMDB11624	C01633
HMDB15540	C08122
HMDB30762	C10476
HMDB01084	C04092
HMDB15321	C06914
HMDB60403	C01217
HMDB14315	C05443
HMDB00876	C05443
HMDB11603	C16453
HMDB37954	C09728
HMDB14260	C06944
HMDB06847	C15777
HMDB00072	C00417
HMDB31554	C12285
HMDB00267	C01879
HMDB30483	C02161
HMDB06764	C05499
HMDB04258	C02041
HMDB41263	C16191
HMDB06762	C05487
HMDB06941	C05560
HMDB32133	C13624
HMDB00022	C05587
HMDB29661	C10675
HMDB35403	C10460
HMDB06503	C00582
HMDB15423	C06882
HMDB34120	C10474
HMDB02265	C14775
HMDB34507	C17423
HMDB60077	C05839
HMDB36100	C03985
HMDB41821	C07585
HMDB00289	C00366
HMDB01051	C02154
HMDB06820	C05805
HMDB02206	C18237
HMDB34221	C08257
HMDB06557	C00498
HMDB14906	C07789
HMDB14421	C01553
HMDB14423	C04931
HMDB00021	C02515
HMDB00745	C00884
HMDB06101	C18165
HMDB15097	C07484
HMDB33322	C16808
HMDB36615	C20011
HMDB00005	C00109
HMDB15002	C01375
HMDB03584	C01959
HMDB31778	C14427
HMDB01983	C05198
HMDB38429	C08404
HMDB30326	C06184
HMDB00656	C05526
HMDB31148	C02880
HMDB60666	C16547
HMDB29395	C04544
HMDB01313	C03546
HMDB37479	C16417
HMDB30475	C16754
HMDB14476	C07052
HMDB06938	C01146
HMDB41835	C16444
HMDB14938	C07693
HMDB02281	C15522
HMDB01416	C01134
HMDB30041	C10706
HMDB01129	C00645
HMDB00930	C00423
HMDB00335	C05300
HMDB15014	C07467
HMDB15132	C01661
HMDB15431	C07554
HMDB32584	C14231
HMDB01043	C00219
HMDB60495	C01044
HMDB02182	C07441
HMDB38318	C15769
HMDB06806	C05983
HMDB01202	C00239
HMDB01064	C02050
HMDB15313	C07381
HMDB00338	C05301
HMDB41971	C07092
HMDB01227	C00364
HMDB15495	C06542
HMDB34859	C18442
HMDB34391	C08885
HMDB14744	C12685
HMDB33939	C13732
HMDB03941	C05267
HMDB01526	C01136
HMDB31489	C19122
HMDB01167	C00546
HMDB11606	C04453
HMDB00149	C00189
HMDB30392	C17615
HMDB00058	C00575
HMDB41576	C09625
HMDB15087	C07792
HMDB04662	C14180
HMDB02374	C08821
HMDB15242	C08070
HMDB03556	C01674
HMDB12199	C00251
HMDB37316	C08650
HMDB14684	C07649
HMDB00402	C02504
HMDB14897	C06570
HMDB01522	C02294
HMDB30651	C09141
HMDB15337	C07079
HMDB30705	C10468
HMDB60313	C16376
HMDB14472	C07042
HMDB03263	C05904
HMDB15151	C07022
HMDB33973	C17639
HMDB01385	C05394
HMDB41016	C08743
HMDB15539	C12871
HMDB30123	C19652
HMDB03474	C01060
HMDB02655	C10084
HMDB00361	C17660
HMDB32040	C19346
HMDB02175	C06263
HMDB00562	C00791
HMDB14634	C07708
HMDB01304	C00390
HMDB60505	C14864
HMDB33484	C09991
HMDB01440	C00286
HMDB30634	C08948
HMDB04702	C14826
HMDB01341	C00008
HMDB15251	C06949
HMDB01220	C00584
HMDB33960	C16942
HMDB00318	C05576
HMDB13675	C02183
HMDB15183	C14055
HMDB37326	C16309
HMDB60601	C16613
HMDB02580	C03642
HMDB10410	C18171
HMDB01021	C04348
HMDB38417	C08403
HMDB02714	C01438
HMDB33320	C16872
HMDB31790	C18729
HMDB01325	C03793
HMDB13248	C03343
HMDB03224	C01801
HMDB59797	C11432
HMDB15455	C08032
HMDB41159	C08612
HMDB11605	C08825
HMDB39154	C09929
HMDB60302	C14792
HMDB34070	C08427
HMDB02541	C03383
HMDB15591	C07818
HMDB03609	C02218
HMDB03911	C05145
HMDB04680	C14778
HMDB05023	C07219
HMDB03993	C05433
HMDB34216	C09993
HMDB06406	C12448
HMDB01943	C02765
HMDB30361	C09042
HMDB14759	C07346
HMDB02755	C10107
HMDB30632	C10213
HMDB29913	C08331
HMDB60387	C11583
HMDB15507	C00989
HMDB00710	C00989
HMDB01432	C00179
HMDB32323	C08306
HMDB33941	C08449
HMDB37438	C16981
HMDB00660	C02336;C00095
HMDB13633	C14807
HMDB10720	C01771
HMDB15162	C07517
HMDB01409	C00365
HMDB06898	C05466
HMDB00637	C05466
HMDB14987	C07829
HMDB29746	C19306
HMDB33909	C15485
HMDB59801	C11430
HMDB34063	C17470
HMDB01097	C01079
HMDB06823	C06148
HMDB02916	C02235
HMDB00797	C04823
HMDB31634	C08391
HMDB34235	C01949
HMDB01139	C00639
HMDB35789	C10682
HMDB35698	C10682
HMDB01170	C01189
HMDB01290	C02411
HMDB15506	C07429
HMDB03848	C04520
HMDB34920	C08637
HMDB02068	C08316
HMDB15237	C07247
HMDB37661	C17625
HMDB33371	C12295
HMDB14391	C07568
HMDB06757	C05475
HMDB10317	C11237
HMDB11662	C04840
HMDB00700	C01013
HMDB02064	C02714
HMDB15052	C07203
HMDB31046	C16536
HMDB00881	C02470
HMDB34027	C10529
HMDB01209	C00499
HMDB04586	C11924
HMDB14818	C07743
HMDB60685	C16652
HMDB15175	C07910
HMDB03940	C05266
HMDB36579	C09628
HMDB11578	C13857
HMDB03426	C00831
HMDB39530	C16184
HMDB04385	C06314
HMDB12459	C17336
HMDB30344	C09611
HMDB05814	C08157
HMDB04062	C05585
HMDB36103	C16461
HMDB06845	C15776
HMDB31647	C00511
HMDB01451	C00725;C16241
HMDB06566	C06371
HMDB59595	C04076
HMDB04135	C05723
HMDB01337	C00909
HMDB04611	C18045
HMDB33933	C02278
HMDB01266	C08356
HMDB39522	C09863
HMDB11732	C15673
HMDB12326	C15923
HMDB60072	C05674
HMDB35772	C08773
HMDB01201	C00035
HMDB03498	C01172
HMDB37973	C08629
HMDB31780	C18574
HMDB36855	C17648
HMDB01114	C00412
HMDB30802	C10118
HMDB15192	C06687
HMDB01151	C01487
HMDB03791	C04043
HMDB41866	C10985
HMDB37658	C10222
HMDB36113	C20260
HMDB29872	C17821
HMDB01361	C00237
HMDB03000	C05432
HMDB00607	C02823
HMDB41797	C03664
HMDB03080	C05951
HMDB60404	C15778
HMDB11737	C05282
HMDB34945	C09189
HMDB35756	C10307
HMDB30581	C12096
HMDB15576	C07641
HMDB32566	C11042
HMDB00568	C01904
HMDB03871	C04717
HMDB13868	C14296
HMDB38423	C08417
HMDB36566	C08597
HMDB03563	C01735
HMDB15084	C07501
HMDB30341	C10166
HMDB34168	C01455
HMDB59646	C01185
HMDB01132	C01185
HMDB01122	C11489
HMDB00280	C00119
HMDB11754	C07194
HMDB14643	C07149
HMDB01430	C01693
HMDB06825	C09332
HMDB41916	C07612
HMDB30396	C00806
HMDB06765	C11131
HMDB01200	C15605;C02700
HMDB15425	C06886
HMDB05826	C01235
HMDB37319	C15531
HMDB15451	C01575
HMDB03826	C04332
HMDB00563	C05607
HMDB00748	C05607
HMDB14632	C07309
HMDB00034	C00147
HMDB30386	C10160
HMDB06773	C05284
HMDB03828	C12661
HMDB34273	C02660
HMDB12141	C04272
HMDB30804	C10119
HMDB12155	C06714
HMDB14648	C07861
HMDB14400	C07620
HMDB15566	C08033
HMDB11653	C04518
HMDB60104	C04686
HMDB11670	C19968
HMDB01870	C00180
HMDB36999	C01951
HMDB12494	C11174
HMDB00150	C00198
HMDB00321	C02360
HMDB32611	C10475
HMDB29196	C01018
HMDB05783	C10462
HMDB01483	C02314
HMDB02925	C03242
HMDB60423	C14856
HMDB60428	C07447
HMDB15051	C06818
HMDB01460	C06607
HMDB59609	C02809
HMDB06804	C00804
HMDB15376	C07172
HMDB59642	C04814
HMDB06488	C01250
HMDB14396	C08080
HMDB33440	C09593
HMDB14499	C06840
HMDB01991	C16353
HMDB59652	C03681
HMDB03759	C03681
HMDB14468	C07949
HMDB60677	C11004
HMDB38591	C11048
HMDB15070	C07363
HMDB11750	C03372
HMDB36620	C10029
HMDB29599	C12518
HMDB00646	C00259
HMDB14592	C06963
HMDB36004	C17505
HMDB00232	C03722
HMDB06006	C14710
HMDB33209	C14420
HMDB00352	C05139
HMDB04094	C05658
HMDB00939	C00021
HMDB30614	C10114
HMDB34170	C06202
HMDB32582	C02499
HMDB34259	C05669
HMDB01892	C05377
HMDB15267	C06875
HMDB00164	C00218
HMDB02878	C00244
HMDB32797	C08491
HMDB12140	C06007
HMDB35588	C03951
HMDB34492	C09776
HMDB34269	C09275
HMDB15217	C07474
HMDB14548	C06817
HMDB60408	C18041
HMDB01269	C00683;C02557
HMDB30327	C09231
HMDB31811	C18771
HMDB05810	C05631
HMDB02434	C00530
