HMDB15473	D07694
HMDB15057	D07132
HMDB15686	D05484
HMDB14927	D01707
HMDB01149	D07567
HMDB15390	D08516
HMDB00073	D07870
HMDB05015	D00332
HMDB03648	D00164
HMDB14932	D00474
HMDB14355	D01112
HMDB14886	D07617
HMDB14801	D01464
HMDB14940	D07122
HMDB41882	D03891
HMDB15576	D00583
HMDB14857	D07482
HMDB14501	D00574
HMDB14613	D00306
HMDB41865	D00306
HMDB00044	D00018
HMDB15186	D02336
HMDB15558	D08385
HMDB14898	D08185
HMDB01927	D00300
HMDB06026	D05204
HMDB02182	D08365
HMDB14659	D00134
HMDB14739	D00947
HMDB14814	D01138
HMDB05843	D02818
HMDB15058	D04720
HMDB15181	D00325
HMDB15568	D06320
HMDB02151	D01043
HMDB01936	D07878
HMDB14325	D04862
HMDB00226	D00055
HMDB14873	D08245
HMDB00374	D08052
HMDB15107	D07483
HMDB14341	D07526
HMDB14702	D00651
HMDB41909	D04582
HMDB14955	D02305
HMDB14703	D00142
HMDB14803	D00965
HMDB33205	D05771
HMDB14496	D08603
HMDB41895	D02302
HMDB15642	D07462
HMDB15421	D02344
HMDB14983	D00278
HMDB41919	D01657
HMDB59709	D05790
HMDB15118	D07990
HMDB15522	D02436
HMDB14658	D00232
HMDB35359	D09605
HMDB15250	D02910
HMDB15602	D08222
HMDB14816	D08146
HMDB14471	D00934
HMDB00134	D02308
HMDB15652	D02388
HMDB14333	D07916
HMDB15319	D03488
HMDB14991	D06067
HMDB15639	D08183
HMDB14887	D00315
HMDB14713	D02350
HMDB33826	D02413
HMDB15657	D01908
HMDB14653	D00212
HMDB15110	D00302
HMDB15422	D02299
HMDB14958	D02008
HMDB15279	D07961
HMDB15069	D02566
HMDB14875	D08163
HMDB15575	D01034
HMDB00244	D00050
HMDB15292	D07678
HMDB15495	D00199
HMDB14260	D00291
HMDB15320	D00546
HMDB14839	D00894
HMDB15195	D00465
HMDB14335	D00704
HMDB14474	D07925
HMDB15538	D01325
HMDB15197	D08090
HMDB01901	D00160
HMDB15155	D00630
HMDB14787	D00445
HMDB30637	D07521
HMDB14517	D08600
HMDB02939	D04989
HMDB40725	D09740
HMDB02725	D08250
HMDB32037	D00133
HMDB15464	D08685
HMDB15200	D00335
HMDB14576	D00391
HMDB29548	D07858
HMDB37182	D05565
HMDB31754	D05144
HMDB15091	D08045
HMDB31558	D09803
HMDB41886	D03769
HMDB15543	D02889
HMDB15500	D01374
HMDB14725	D02846
HMDB14931	D00339
HMDB03337	D00031
HMDB14988	D00503
HMDB14743	D00120
HMDB15009	D08570
HMDB32702	D06362
HMDB15400	D08044
