J2.367A	D00188
J4.205F	D08088
J5.685E	D04877
J22.219D	D01385
J34.127D	D03594
J5.680D	D04236
J321.184C	D08644
J265.257I	D03328
J3.439H	D00513
J388.992K	D03348;D03345;D03346
J244.479H	D05491
J1.591.912D	D02346
J8.622C	D03946
J253.817B	D02249
J32.871E	D04566
J32.514G	D08924
J20.172C	D06263
J8.746G	D04213
J715.876I	D05246
J82.338D	D02944
J3.784B	D05160
J43.600C	D00004
J8.003I	D04940
J2.056G	D02020
J33.787K	D07304
J5.131D	D01617
J1.403F	D01807
J2.046.067I	D01276
J203.595B	D05545
J203.594D	D05545
J244.411I	D05761
J4.417B	D07368
J10.057I	D08839
J2.194.310J	D06329
J67.779E	D00911
J346.534I	D00419
J86.067K	D02370
J2.500.397G	D03608
J380.264G	D04040
J22.495B	D05857
J4.009F	D00077
J5.256F	D04111
J365.004I	D03992
J2.773A	D00368
J369.156J	D07696
J8.862E	D07162
J4.588H	D07460
J10.216D	D01962
J19.709B	D03035
J244.642A	D05620
J16.451H	D00629
J6.328B	D07330
J4.200E	D07198
J8.698C	D06260
J245.491B	D01656
J2.200.722J	D02177
J311.241A	D08576
J16.607C	D07183
J334.155K	D03924
J404.471A	D03727
J237.256H	D04849
J220.553J	D04849
J8.625H	D08542
J257.267B	D02219
J134.096D	D04992
J2.601.657F	D07133
J22.038H	D03874
J19.956G	D07395
J10.409D	D04651
J20.519B	D02355
J503.379I	D04097
J10.732H	D04077
J231.254I	D04872
J5.058J	D07523
J150.533E	D00898
J300.553D	D01021
J7.244C	D08624
J10.110I	D02296
J18.479I	D00879
J8.983D	D05045
J244.007E	D01532
J360.579E	D02328
J237.399H	D02109
J10.276H	D07840
J349.604J	D01444
J244.393G	D03847
J21.202D	D03770
J358.588C	D00816
J5.928E	D07809
J3.749D	D05963
J244.885H	D08098
J3.157G	D07282
J2.222.275I	D02708
J399.908D	D01620
J86.098K	D07366
J4.101G	D00754
J3.095C	D03101
J280.592H	D01434
J2.097.999B	D04318
J268.401B	D08341
J7.978B	D08210
J12.822H	D05001
J267.106I	D02290
J244.491G	D02101
J67.394C	D08735
J17.850K	D08593
J277.880G	D00357
J52.995H	D00790
J8.557J	D07816
J2.415.691E	D04295
J3.148H	D01594
J23.743D	D00585
J345.183F	D00677
J220.337E	D04669
J13.349C	D05335
J244.951J	D04254
J509.240J	D05980
J4.555A	D03182
J365.036G	D06014
J269.091H	D08836
J303.707J	D08836
J561.966A	D04258
J349.700C	D01143
J2.513E	D00703
J3.745A	D02057
J2.326D	D01740
J11.175I	D03421
J14.686B	D06137
J276.249H	D00776
J205.522H	D08197
J22.942C	D08511
J10.021H	D00565
J12.664K	D01894
J2.527E	D00658
J5.894G	D08249
J19.673H	D06176
J136.463D	D06370
J4.865H	D07936
J244.783E	D02080
J300.656E	D00663
J19.294E	D03523
J23.658F	D08077
J33.097C	D08257
J3.397I	D00470
J20.331I	D01267
J244.820C	D04199
J31.137E	D02358
J4.097E	D00375
J220.204B	D01347
J243.785F	D05503
J6.795D	D07230
J15.809G	D07221
J11.225I	D07443
J23.754J	D07946
J4.419I	D00870
J5.690A	D01335
J246.884K	D00701
J2.038I	D00244
J7.632E	D04577
J727.673G	D03121
J22.088D	D01715
J19.767J	D07520
J19.191D	D06300
J4.401F	D07855
J4.203J	D00404
J18.212E	D04316
J319.142G	D08142
J244.090C	D02003
J5.707J	D08370
J17.484J	D01327
J231.236K	D01390
J7.687B	D02813
J34.283A	D00260
J397.344A	D00821
J759.730D	D03821
J524.971F	D01068
J238.611I	D07206
J244.679K	D07813
J263.254C	D07813
J296.618B	D00915
J473.014C	D05203
J276.267F	D08104
J9.082D	D02930
J277.869F	D01000
J380.208F	D02739
J28.162J	D01737
J98.262H	D00008
J18.642B	D07529
J209.198D	D03673;D06398;D03337;D04977;D02980;D02112;D03353
J244.736C	D01873
J532.750D	D07129
J3.679J	D01241
J252.821E	D02338
J388.834G	D06091
J1.356K	D00292
J20.616D	D07192
J244.400C	D02349
J349.697J	D02246
J2.208.842D	D00891
J378.898I	D00429
J4.199H	D08425
J111.110H	D00914
J7.904I	D01322
J243.951D	D03088
J11.390E	D08594
J449.799F	D04220
J2.793F	D07760
J299.272H	D01352
J358.610C	D01944
J4.149A	D04438
J22.790K	D06187
J3.701J	D01436
J5.073C	D05633
J19.861G	D04211
J1.913E	D00331
J237.178B	D01126
J7.818B	D07236
J50.041K	D02291
J203.725D	D05541
J3.145C	D01975
J9.515J	D01044
J19.829C	D03873
J231.242E	D00787
J351.178B	D00622
J349.744E	D01635
J2.054K	D00691
J100.940K	D05572
J32.853G	D01691
J11.463D	D00338
J45.019G	D03846
J244.677D	D08962
J39.141G	D00259
J3.174G	D01300
J105.145H	D01675
J300.134B	D01741
J974.104F	D02229
J5.365A	D00978
J3.422C	D01880
J10.783B	D02638
J43.728J	D01083
J276.221H	D03082
J290.600G	D08025
J4.081I	D01240
J13.810J	D03885
J11.486C	D02374
J19.522G	D00418
J327.461F	D01650
J283.181C	D02306
J9.870A	D07358
J4.515B	D00204
J8.016K	D02671
J404.398G	D06112
J345.185B	D01955
J300.172E	D04105
J244.712F	D05038
J4.883F	D02424
J22.689K	D01808
J19.344E	D02339
J92.753H	D04827
J6.057G	D02547
J23.287D	D07606
J257.270B	D03985
J3.126G	D01185
J7.789E	D07485
J2.317.269K	D05338
J34.315C	D07897
J60.488G	D02426
J10.778F	D05381
J209.277H	D06359
J237.545A	D00803
J33.368I	D07348
J22.769B	D05668
J531.895E	D05396
J9.852C	D06108
J2.509.262G	D03311
J9.514A	D07447
J4.623J	D07547
J19.470K	D04639
J12.333A	D08435
J1.864.558K	D03895
J1.112.578F	D02501
J8.789K	D02808
J17.947G	D03023
J23.679I	D02614
J11.473A	D08515
J7.455A	D07343
J16.393G	D07373
J43.750F	D03309
J203.711D	D02779
J2.523.247J	D02779
J4.488A	D04197
J1.737.432J	D06068
J269.255D	D04969;D04968
J8.104C	D04157
J136.554A	D00002
J182.232B	D07290
J166.097G	D08354
J231.185B	D02405
J51.497G	D07849
J1.456G	D01910
J19.291K	D03447
J419.563I	D01628
J2.332I	D00267
J20.450A	D05937
J128.629C	D06117
J17.787C	D00457
J7.993F	D04089
J8.430A	D05219
J10.460D	D01101
J20.019K	D05619
J550.680H	D03419
J1.163K	D00011
J414.900I	D07725
J4.500D	D08531
J4.439C	D01953
J562.406A	D06116
J5.371F	D03180
J6.947G	D04210
J3.493B	D01329
J220.042B	D01002
J365.171A	D01695
J8.114K	D08198
J7.598A	D03993
J16.878E	D05992
J4.869K	D05408
J8.006C	D03831
J4.190D	D08195
J1.918F	D00078
J9.783G	D03422
J311.720K	D07832
J1.857.386E	D02484
J1.110.569F	D04696
J4.860G	D08054
J7.205B	D03363
J10.724G	D03936
J402.607A	D07515
J19.460C	D04575
J447.679D	D08471
J244.676F	D00856
J55.610F	D03487
J2.362K	D06265
J7.959F	D07091
J21.210E	D07904
J252.776F	D00607
J23.724H	D00442
J1.606.661C	D01918
J220.091K	D00810
J22.801J	D01828
J825.315C	D03840
J525.995I	D01739
J276.436I	D07596
J300.710C	D03321
J602.779B	D03735
J1.060.504K	D06008
J244.792D	D05676
J19.479D	D08105
J10.027G	D05729
J480.132F	D08664
J480.230F	D00926
J25.826A	D02978
J440.988D	D00634
J8.232E	D05452
J880.425G	D01845
J2.892D	D00140
J219.954H	D01340
J2.173.686D	D03250
J209.199B	D03354
J16.626J	D01366
J567.110H	D03037
J561.793F	D01188
J13.115F	D02975
J22.049C	D07329
J1.963A	D02310
J3.309J	D00221
J8.896J	D06192
J1.921.292K	D03150
J611.074F	D05391
J3.879B	D01659
J240.229G	D00150
J203.665G	D01596
J311.460K	D06377
J51.487J	D06884
J7.308C	D07105
J866.288F	D08378
J203.593F	D08972
J244.081D	D07094
J10.405A	D08379
J388.268C	D03964
J9.454D	D00145
J7.903K	D00792
J217.089B	D01361
J71.275B	D04706
J219.963G	D00849
J11.738B	D05900
J6.619B	D07093
J152.182I	D07920
J355.237C	D02227
J506.542I	D06094
J485.528K	D08293
J7.792E	D00441
J8.026H	D00985
J252.971H	D07757
J239.614I	D08495
J231.267K	D00645
J3.404E	D01056
J92.750C	D05796
J368.995F	D07565
J290.431D	D01484
J4.499G	D00506
J9.801I	D07340
J388.269A	D03585
J261.190B	D02680
J99.002G	D01084
J16.742H	D02755
J413.233E	D03643
J8.799H	D04534
J231.434G	D01360
J18.596E	D07455
J620.770G	D08491
J7.140D	D07220
J414.793F	D00738
J258.545F	D02482
J23.291B	D03754
J34.285H	D04509
J7.143I	D05954
J6.194H	D07300
J8.514F	D02301
J946F	D06539;D06541;D00060;D06540
J3.086D	D02515
J290.400D	D02607
J7.934K	D04009
J98.816B	D03288
J310.927E	D00135
J10.586D	D07271
J244.815G	D02114
J8.639H	D02520
J1.892.001H	D00229
J2.194.809H	D02683
J19.948F	D02303
J2.055I	D01381
J6.511K	D07876
J23.727B	D06063
J245.458K	D01467
J299.262K	D01952
J17.058E	D05121
J5.598K	D02379
J66.974A	D07968
J208.000A	D01331
J220.476B	D07836
J14.532G	D05082
J532.862D	D03991
J2.222.735A	D01958
J43.586D	D01901
J203.750E	D05839;D06521;D06522
J43.598H	D05839;D06521;D06522
J263.328K	D03713
J243.847J	D03450
J9.078F	D06303
J3.445B	D01220
J8.496D	D08406
J1.462A	D03789
J203.668A	D01108
J20.334C	D04398
J4.490C	D00342
J523.294E	D05714
J8.700I	D07394
J33.162G	D03760
J20.856F	D08078
J8.911G	D04238
J358.598K	D01930
J3.195J	D01585
J263.481C	D07738
J147.310G	D02203
J244.492E	D00936
J561.797I	D07639
J14.626I	D07487
J9.813B	D04069
J7.206K	D04885
J10.468J	D07277
J7.999E	D03161
J10.884G	D07268
J22.206B	D01013
J7.253B	D07243
J18.086F	D07620
J7.246J	D01605
J98.245H	D00102
J342.306I	D00424
J299.733I	D00836
J7.313J	D03514
J8.165E	D07542
J126.212B	D00355
J203.662B	D05741
J21.733F	D02585
J422.608I	D01172
J32.486H	D07501
J22.241K	D04180
J2.305A	D07671
J20.567B	D02753
J364.407C	D01946
J7.088B	D03472
J19.281C	D03083
J11.825G	D07660
J11.242I	D05417
J1.543.461I	D01425
J395.789F	D00880
J252.899A	D07575
J260.590B	D07484
J1.859.987B	D08108
J8.275I	D02886
J18.528K	D08610
J4.957C	D05175
J10.358F	D06318
J16.872F	D02151
J2.219.798C	D01570
J2.205.760J	D01570
J2.833I	D03467
J6.620F	D02602
J231.365K	D03051
J1.630.992C	D00678
J15.816J	D04215
J2.240.829A	D03455
J11.186D	D03080
J8.825K	D04196
J383.130B	D03273
J4.432F	D00744
J400.158C	D05593
J321.691H	D02485
J18.478K	D01783
J195.929H	D01733
J203.499I	D01960
J22.351D	D08149
J9.534F	D05750
J7.630I	D01280
J321.559H	D00621
J561.826F	D03116
J1.915.230H	D00661
J3.491F	D01316
J5.641C	D02843
J8.536G	D03070
J20.256H	D03052
J5.514J	D03948
J361.794G	D08854
J871.596C	D00671
J231.542D	D02247
J364.877J	D01831
J205.362D	D01993
J5.588C	D05188
J21.371C	D07874
J9.084K	D05168
J852D	D03319
J9.613J	D05713
J4.524A	D01822
J17.949C	D00231
J375.046I	D02720
J8.502B	D03539
J4.881J	D00032
J20.395E	D07347
J7.681C	D07942
J44.028K	D02055
J1.589.721J	D02015
J482.705H	D02015
J2.730.443E	D04546;D00085
J300.642E	D07517
J12.917H	D01049
J19.939G	D02668
J16.427E	D08387
J435.369B	D00317
J44.372G	D02182
J439.006G	D01662
J5.030J	D00242
J19.453K	D04142
J309.318B	D05719
J399.913K	D01107
J441.395D	D01107
J311.608E	D08273
J273.248C	D02693
J561.849E	D02551
J349.769K	D03854
J9.442K	D07240
J4.917D	D02457
J237.306H	D02202
J407.281B	D07293
J126.204A	D02892
J291.907I	D02768
J11.153H	D03711
J5.180B	D01533
J90.507K	D07581
J18.529I	D06191
J244.753C	D05418
J10.731J	D01289
J299.330I	D00831
J7.467E	D07939
J209.248D	D05363
J984I	D07834
J4.891G	D09216
J7.301F	D06885
J4.110F	D08421
J458.187C	D02675
J14.545I	D04232
J2.374.908D	D06402
J231.290E	D08248
J343.473G	D08061
J5.929C	D08100
J457.798A	D03546
J364.959H	D02093
J5.133K	D04999
J9.291F	D00387
J1.801.629J	D01988
J244.745B	D06306
J257.095E	D01140
J9.019K	D04555
J281.203G	D08982
J6.593E	D07933
J34.705A	D07186
J78.385D	D05861
J19.701G	D06364
J4.533K	D00063
J3.315D	D01805
J422.655K	D08538
J2.328K	D02437
J244.704E	D04274
J215.242H	D07691
J10.058G	D03034
J1.378A	D05341
J244.844K	D07737
J1.415J	D00299
J4.211K	D07059
J313.679E	D08556
J4.989A	D08180
J7.288E	D07301
J541.200E	D03031
J260.737I	D03039
J20.365C	D05965
J11.051E	D05425
J134.054I	D08506
J55.621A	D05924
J244.638C	D01435
J244.395C	D02687
J2.578.922I	D03215
J22.967I	D03655
J9.900G	D04624
J8.096I	D07275
J6.805E	D07276
J4.155F	D08192
J5.631F	D00358;D02086
J268.177C	D07229
J363.018H	D05416
J797.365I	D01697
J231.581E	D05133
J6.953A	D02516
J7.158G	D00770
J3.188G	D01392
J21.225C	D08031
J372.712B	D02142
J281.197I	D02074
J209.161E	D03329
J244.996J	D03405
J8.375E	D01796
J277.867J	D00598
J4.947F	D04164
J2.460K	D02315
J817F	D01045
J2.229.653A	D05386
J25.825C	D06646
J1.389.394B	D03828
J4.437G	D08578
J6.362B	D08187
J192.082K	D08540
J2.984J	D00935
J300.839H	D01440
J371.962F	D00799
J8.788B	D07197
J203.726B	D05254;D06506;D05253;D05297;D05318;D06507
J203.727K	D05254;D06506;D05253;D05297;D05318;D06507
J203.739D	D05254;D06506;D05253;D05297;D05318;D06507
J203.741F	D05254;D06506;D05253;D05297;D05318;D06507
J327.577I	D00644
J300.663H	D01026
J4.143B	D04227
J605.898A	D01443
J2.037K	D00726
J2.454F	D01120
J2.034F	D00224
J33.157K	D08620
J262.867H	D00483
J2.053B	D00163
J310.936D	D04868
J3.868G	D07136
J2.983A	D00139
J36.826A	D07457
J9.223A	D00076
J359.001A	D01080
J8.273B	D03174
J1.621.570H	D07894
J220.234D	D06101
J269.063B	D04562
J82.001F	D07612
J9.481A	D01100
J10.376D	D07257
J86.103K	D08123
J59.376A	D08285
J12.821J	D02974
J2.449J	D05892
J435.105C	D00903
J22.286K	D08074
J1.428A	D00650
J193.712J	D00572
J9.546J	D02553
J231.203D	D08101
J7.838G	D04979
J561.971H	D05441
J10.382I	D05009
J2.929G	D00073
J10.990H	D04600
J346.513F	D04883
J6.625G	D08267
J3.393F	D01281
J32.485J	D02342
J3.169K	D00872
J388.837A	D05006
J349.688K	D01018
J13.853C	D07670
J11.119H	D04278
J383.157D	D01336
J3.945D	D00551
J1.174F	D04332
J399.152K	D00713
J19.587A	D05621
J291.229E	D07132
J334.451G	D00835
J5.102K	D08906
J221.151C	D00693
J352.907J	D05856
J911C	D05856
J342.363H	D05856
J43.938J	D07232
J20.455B	D07241
J14.025B	D07732
J2.058C	D07104
J7.842E	D01461
J290.285K	D02822
J7.345H	D05484
J11.852D	D02987
J644.129G	D01780
J33.110D	D05015
J300.499F	D07084
J300.492I	D04092
J2.173.567A	D01707
J383.172H	D05926
J209.246H	D03322
J525.653D	D04659
J300.496A	D03383
J245.455F	D00673
J427.891G	D01549
J404.413D	D05930
J268.926J	D03507
J23.282C	D07242
J8.554E	D07344
J4.932H	D07194
J9.554K	D04356
J184.420B	D06882
J38.537I	D07567
J17.848I	D06198
J244.850E	D00722
J4.120C	D07870
J228.162G	D01475
J401.304B	D01186
J388.522D	D05684
J95.183H	D02334
J581.143K	D08035
J39.388F	D00332
J3.849K	D00164
J7.918I	D05749
J3.659E	D02160
J3.260C	D00474
J6.494G	D07286
J399.566F	D01112
J281.718G	D08217
J245.716D	D08566
J66.409J	D01517
J523.513H	D03120
J623.714B	D07680
J9.571K	D07770
J7.236B	D00710
J281.131F	D07502
J6.006B	D07617
J7.845J	D01464
J330.279B	D07122
J1.444C	D03627
J32.842A	D03891
J2.307H	D00583
J8.281C	D07482
J5.378C	D00574
J882F	D00306
J327.787I	D02728
J98.757C	D09201
J9.005K	D03984
J2.301I	D00018
J37.274I	D07963
J428.389I	D07453
J2.342F	D02336
J8.094B	D08630
J263.323J	D01548
J23.314E	D08688
J388.276D	D01128
J16.029F	D08385
J369.072E	D08678
J16.876I	D06182
J327.339C	D08185
J367.735D	D06396
J1.390K	D00300
J281.050F	D04987
J10.623B	D05204
J7.488H	D08048
J22.706D	D01750
J227.364K	D08477
J2.184I	D05167
J324.823B	D06017
J9.648B	D07297
J8.601K	D08365
J11.391C	D00134
J709.722K	D00947
J220.302B	D02211
J3.741I	D01905
J5.327I	D01138
J349.750J	D02884
J22.807I	D05670
J86.135I	D08416
J8.120E	D07466
J1.165G	D02818
J550.713H	D04720
J2.036B	D00325
J247.629K	D02633
J8.907I	D03628
J11.487A	D05693
J17.579J	D07972
J5.915C	D07384
J1.933J	D01043
J2.206.255G	D00158
J5.925K	D07878
J525.160E	D01546
J327.457H	D01546
J244.641C	D05672
J262.609H	D04862
J2.359K	D00055
J244.540I	D03568
J369.630H	D07451
J440.995G	D01512
J18.923E	D04592
J44.355G	D07539
J95.831J	D02416
J8.352F	D07755
J244.941B	D00883;D08245
J19.990G	D08245
J7.685F	D05232
J4.424E	D01319
J311.410D	D05076
J334.999C	D00505
J4.862C	D08052
J11.413H	D02286
J2.580A	D05440
J400.143E	D02688
J13.831B	D07483
J231.517C	D06246
J19.271F	D07526
J5.235C	D00651
J25.830J	D04582
J535.360B	D03166
J23.730B	D01473
J4.306K	D07681
J16.414C	D02305
J2.334E	D00142
J263.293D	D04781
J278.104B	D07605
J244.520D	D03893
J8.079I	D07185
J846.779J	D03517
J33.120A	D00965
J244.724J	D04704
J5.564F	D05468
J3.181J	D01330
J10.152D	D07393
J628I	D00857
J22.755B	D07981
J5.334A	D05771
J367.752D	D02451
J21.274A	D08603
J246.878F	D00609
J10.191E	D03248
J4.158K	D02579
J237.394G	D07842
J16.025C	D02302
J450.893I	D05746
J9.635K	D08604
J33.173B	D07462
J11.081G	D03534
J2.207.566G	D00871
J17.432G	D02344
J16.728B	D01513
J245.493I	D01589
J6.345B	D02462
J3.611K	D00149
J558.869C	D00623
J33.165A	D05694
J268.973A	D04694
J2.215.415J	D02195
J66.407C	D00907
J10.782D	D03369
J139.050C	D00995
J400.156G	D02972
J369.133K	D07069
J9.543E	D00278
J7.142K	D01657
J203.591J	D02320
J248.024G	D07134
J4.312E	D05790
J388.816I	D01603
J277.875K	D00717
J219.953J	D00844
J524.929E	D08386
J7.784D	D01246
J2.056.551I	D04474
J2.404.888H	D06404
J4.254D	D05956
J252.815K	D07990
J106.516E	D02436
J243.983B	D00232
J7.962F	D07307
J252.780D	D07477
J8.645B	D07404
J2.160.644H	D07080
J237.560E	D03102
J237.323H	D00604
J5.967F	D04041
J2.949A	D06114
J7.829H	D02910
J304.816K	D08222
J12.820A	D04189
J7.235D	D03172
J1.310B	D03336
J276.444J	D08146
J323.058I	D01104
J297.654D	D02011
J7.102A	D03699
J14.642K	D07259
J258.533B	D03775
J306.709B	D00934
J7.850F	D07491
J16.394E	D06232
J95.624D	D07582
J246.945F	D01505
J2.880K	D02308
J2.209.017H	D02041
J244.809B	D04479
J7.129C	D02388
J281.271A	D08046
J280.800E	D00817
J321.168A	D00688
J365.044H	D07948
J252.816I	D01670
J3.173I	D03488
J171.234I	D06067
J4.854B	D05680
J32.876F	D07898
J14.655B	D05083
J4.645K	D08183
J61.334G	D06087
J16.541G	D00315
J252.831B	D02350
J2.939D	D02413
J521.603F	D01369
J247.159K	D04497
J9.059J	D04925
J22.253D	D01908
J2.388.553K	D03614
J401.558D	D04737
J345.437A	D05968
J8.794G	D07291
J244.509C	D05743
J26.962J	D00971
J244.241H	D01588
J23.263G	D04162
J236.060H	D05845
J260.514G	D08235
J4.198J	D08334
J1.590.362G	D02148
J3.424J	D01882
J369.149G	D03571
J9.002F	D03631
J10.564C	D07634
J93.454B	D00712
J34.275K	D00212
J8.585E	D00302
J17.146H	D02299
J408.927H	D07217
J1.662.659G	D02008
J8.231G	D08671
J8.545F	D07961
J631.227F	D02537
J9.818C	D02566
J4.317F	D01041
J321.566K	D00925
J6.532C	D08163
J3.411H	D01034
J3.876H	D00050
J33.135J	D01678
J3.443F	D01202
J2.207.957C	D05110
J8.519G	D03708
J346.504G	D05215
J5.584K	D07678
J15.133E	D00199
J10.349G	D00291
J231.457F	D02772
J410.873F	D00285
J444.212A	D00546
J674.601B	D00894
J1.015.291G	D00894
J10.648H	D08324
J10.962B	D06267
J14.540H	D02756
J3.340E	D01563
J3.275A	D09200
J15.020G	D07797
J2.191.211E	D06078
J285.281K	D00763
J8.752A	D05604
J8.959A	D00982
J262.792B	D01976
J8.747E	D04138
J8.038A	D00465
J5.130F	D00704
J245.552H	D02236
J290.882D	D01504
J203.717C	D03244
J7.060B	D07516
J365.005G	D00597
J2.293.383C	D08008
J5.842D	D08586
J7.500K	D02621
J23.709D	D08482
J321.041C	D04160
J14.339A	D06312
J5.261B	D07925
J3.176C	D01325
J28.477G	D08090
J148.074J	D01727
J1.398F	D00160
J8.533B	D02897
J22.753F	D00630
J7.363F	D05665
J19.877C	D07169
J10.959B	D04161
J8.050K	D04982
J2.890H	D07872
