CID100003066	DB01287;DB00320
CID100003075	DB00343
CID100003080	DB06782
CID100003100	DB06975;DB01075
CID100003105	DB00449
CID100003108	DB00975
CID100003114	DB00280
CID100003117	DB00822
CID100003121	DB00510;DB00313
CID100003125	DB00765
CID100003143	DB01248
CID100003148	DB00757
CID100003151	DB01184
CID100003152	DB07701;DB00843
CID100003154	DB04507;DB00869
CID100003155	-
CID100003156	DB00561
CID100003157	DB00590
CID100003158	DB01142
CID100003168	DB00450
CID100003171	DB06262
CID100003182	DB00651
CID100003198	DB07705;DB01127
CID100003199	DB05109
CID100003202	DB01010
CID100003203	DB00625;DB07709
CID100003209	DB00159
CID100003219	DB01084
CID100003222	DB00584
CID100003226	DB00228
CID100003241	DB00751
CID100003249	DB00153
CID100003250	DB01253
CID100003251	DB00696
CID100003255	DB00199
CID100003256	-
CID100003261	DB01215
CID100003263	-
CID100003267	-
CID100003268	-
CID100003269	DB04573;DB07702
CID100003278	DB00903
CID100003279	DB00330
CID100003291	DB00593
CID100003292	DB00754
CID100003305	DB01077
CID100003308	DB00749
CID100003310	DB00773
CID100003324	DB00426
CID100003325	DB00927
CID100003331	DB00949
CID100003333	DB01023
CID100003339	DB01039
CID100003340	DB00800
CID100003342	DB00573
CID100003345	DB00813
CID100003348	DB00950
CID100003350	DB01216;DB07774
CID100003354	DB01148
CID100003355	DB01195
CID100003363	DB00322
CID100003364	DB00301
CID100003365	DB00196
CID100003366	DB01099
CID100003367	DB04441
CID100003368	DB01073
CID100003370	-
CID100003372	DB00623
CID100003373	DB01205
CID100003375	DB00223
CID100003379	DB00180
CID100003380	DB01544
CID100003381	DB00591
CID100003382	DB01047
CID100003384	DB00324
CID100003385	DB00544
CID100003386	DB00472;DB08544;DB08472
CID100003387	DB01185
CID100003388	-
CID100003392	DB00846
CID100003393	DB00690
CID100003394	DB00712;DB05289
CID100003397	DB00499
CID100003399	DB00588
CID100003403	DB01095
CID100003404	DB00176
CID100003405	DB00158
CID100003406	DB01213
CID100003410	DB00983;DB01274
CID100003414	DB00529
CID100003417	DB00828
CID100003419	DB00492
CID100003425	-
CID100003440	DB00695;DB07799
CID100003443	DB02703
CID100003446	DB00996
CID100003449	DB00674
CID100003454	DB01004
CID100003461	DB00441
CID100003462	-
CID100003463	DB01241
CID100003467	DB00798
CID100003475	DB01120
CID100003476	DB00222
CID100003478	DB01067
CID100003488	DB01016
CID100003494	DB00986
CID100003510	DB00889
CID100003512	DB00400
CID100003516	DB00874
CID100003517	DB00629
CID100003519	DB01018
CID100003520	DB00536
CID100003553	-
CID100003559	DB00502
CID100003598	DB00756
CID100003623	DB02161
CID100003636	-
CID100003637	DB01275
CID100003639	DB00999
CID100003640	DB00741;DB07886
CID100003642	-
CID100003647	DB00774
CID100003648	DB00327
CID100003652	DB01611
CID100003657	DB01005
CID100003658	DB00557
CID100003661	DB00424;DB00572
CID100003672	DB01050
CID100003675	DB00780
CID100003676	DB05291;DB00281
CID100003685	DB01177
CID100003687	DB00249;DB03778
CID100003690	DB01181
CID100003696	DB08002;DB00458
CID100003702	DB00808;DB07467
CID100003706	DB00224
CID100003715	DB00328
CID100003724	DB01249
CID100003730	DB01362
CID100003734	-
CID100003736	-
CID100003737	-
CID100003738	-
CID100003739	DB04711
CID100003741	-
CID100003742	-
CID100003743	-
CID100003746	DB00332
CID100003749	DB01029
CID100003750	DB00762
CID100003759	DB01247
CID100003763	DB00753
CID100003767	DB00951
CID100003777	-
CID100003779	DB01064
CID100003780	DB00883
CID100003783	-
CID100003784	DB00270
CID100003793	DB01167
CID100003821	DB01221
CID100003823	DB01026
CID100003825	DB01009
CID100003826	DB00465
CID100003827	DB00920
CID100003830	-
CID100003848	DB02494
CID100003869	DB00598
CID100003872	DB00581
CID100003877	DB00709
CID100003878	DB00555
CID100003883	DB00448
CID100003890	DB00654
CID100003899	DB01097
CID100003902	DB01006
CID100003911	-
CID100003914	DB01210
CID100003915	DB01106
CID100003916	DB01403
CID100003918	DB00854
CID100003928	DB01627
CID100003929	DB08769;DB00601
CID100003937	DB00722
CID100003938	DB00589
CID100003939	-
CID100003948	DB00978
CID100003950	DB01206
CID100003954	DB00836
CID100003957	DB00455
CID100003958	DB00186
CID100003961	DB00678
CID100003962	DB00227
CID100003964	DB00408
CID100003998	-
CID100004004	DB00772
CID100004011	DB00934
CID100004030	DB00643
CID100004031	-
CID100004032	DB00657
CID100004033	DB00888
CID100004034	DB00737
CID100004036	DB00939
CID100004042	DB00603
CID100004043	DB00253
CID100004044	DB00784
CID100004046	DB00358
CID100004048	-
CID100004051	DB00814
CID100004053	DB01042
CID100004054	DB01043
CID100004057	DB04843
CID100004058	DB00454
CID100004060	DB00532
CID100004062	DB00961
CID100004064	DB00371
CID100004075	DB00244
CID100004086	DB00816
CID100004091	DB00331
CID100004095	DB00333
CID100004101	-
CID100004107	DB00423
CID100004112	DB00563
CID100004114	DB00553
CID100004120	DB00462
CID100004121	DB00232
CID100004138	DB00968
CID100004139	DB08167
CID100004140	DB00353
CID100004158	DB06701;DB00422
CID100004159	DB00959
CID100004160	DB06710
CID100004163	DB00247
CID100004168	DB01233
CID100004170	DB00524
CID100004171	DB00264
CID100004173	DB00916
CID100004174	DB01011
