S01XA02	CID100001071
R01AX02	CID100001071
A11CA01	CID100001071
D10AD02	CID100001071
V03AB06	CID100001084
A16AX07	CID100001125
A11DA01	CID100001130
J05AF11	CID100001134
N06BA03	CID100001206
M01AE02	CID100001301
M02AA12	CID100001301
G02CC02	CID100001301
L01BB04	CID100001546
L01DB01	CID100001690
L01DB03	CID100001690
N07XX07	CID100001727
N03AB02	CID100001775
S01EC05	CID100001798
L01BC07	CID100001805
J05AF06	CID100001971
J02AA01	CID100001972
A01AB04	CID100001972
A07AA07	CID100001972
G01AA03	CID100001972
C07AB04	CID100001978
N02BE01	CID100001983
S01EC01	CID100001986
G04BX03	CID100001990
L01DA01	CID100002019
J01XX04	CID100002021
S01AD03	CID100002022
D06BB03	CID100002022
J05AB01	CID100002022
P02CA03	CID100002082
R03AC02	CID100002083
R03CC02	CID100002083
M05BA04	CID100002088
G04CA01	CID100002092
M04AA01	CID100002094
A03AE01	CID100002099
N05BA12	CID100002118
L01XX03	CID100002123
N04BB01	CID100002130
D07AC11	CID100002133
V08AA01	CID100002140
V03AF05	CID100002141
J01GB06	CID100002142
D06AX12	CID100002142
S01AA21	CID100002142
L02BG01	CID100002145
V04CH30	CID100002148
R03DA04	CID100002153
C01BD01	CID100002156
N05AL05	CID100002159
N06AA09	CID100002160
A01AD07	CID100002161
R03DX01	CID100002161
C08CA01	CID100002162
N05CA02	CID100002163
D01AE16	CID100002168
N06AA17	CID100002170
J01CA04	CID100002171
S01AA19	CID100002173
J01CA01	CID100002173
J05AE05	CID100002177
L01XX01	CID100002179
L01XX35	CID100002182
L02BG03	CID100002187
G04BE07	CID100002215
N04BC07	CID100002215
S01EA03	CID100002216
B01AE03	CID100002232
B01AC06	CID100002244
N02BA02	CID100002244
B01AC15	CID100002244
A01AD05	CID100002244
N02BA01	CID100002244
C07AB11	CID100002249
C07AB03	CID100002249
C10AA05	CID100002250
L04AX01	CID100002265
D10AX03	CID100002266
S01GX07	CID100002267
R06AX19	CID100002267
R01AC03	CID100002267
S01AA26	CID100002269
J01FA10	CID100002269
J01DF01	CID100002274
M03BX01	CID100002284
R03BA01	CID100002308
A07EA07	CID100002308
R01AD01	CID100002308
D07AC15	CID100002308
C09AA07	CID100002311
C03AA01	CID100002315
R02AD01	CID100002337
D04AB04	CID100002337
N01BA05	CID100002337
C05AD03	CID100002337
N04AC01	CID100002344
P03AX01	CID100002345
J01CE01	CID100002349
S01AA14	CID100002349
C08EA02	CID100002351
N07CA01	CID100002366
C07AB05	CID100002369
S01ED02	CID100002369
N07AB02	CID100002370
L02BB03	CID100002375
A06AG02	CID100002391
A06AB02	CID100002391
C07AB07	CID100002405
C01BD02	CID100002431
D11AX21	CID100002435
S01EA05	CID100002435
N05BA08	CID100002441
R05CB02	CID100002442
G02CB01	CID100002443
N04BC01	CID100002443
A07EA06	CID100002462
R01AD05	CID100002462
R03BA02	CID100002462
D07AC09	CID100002462
C03CA02	CID100002471
N01BB01	CID100002474
N01BB10	CID100002474
N07BC01	CID100002476
N02AE01	CID100002476
N05BE01	CID100002477
L01AB01	CID100002478
D01AE23	CID100002484
N02AF01	CID100002487
G02CB03	CID100002512
N04BC06	CID100002512
N06BC01	CID100002519
C08DA01	CID100002520
D05AX02	CID100002522
D05AX03	CID100002524
A11CC04	CID100002524
C09CA06	CID100002541
M02AB01	CID100002548
N01BX04	CID100002548
M02AB02	CID100002548
C09AA01	CID100002550
N07AB01	CID100002551
S01EB02	CID100002551
N03AF01	CID100002554
J01CA03	CID100002559
R06AA08	CID100002564
M03BA02	CID100002576
L01AD01	CID100002578
C07AA15	CID100002583
S01ED05	CID100002583
C07AG02	CID100002585
J01DC04	CID100002609
J01DB05	CID100002610
J01DB04	CID100002617
J01DE01	CID100002622
J01DD01	CID100002631
J01DC01	CID100002637
J01DC10	CID100002646
J01DD02	CID100002650
J01DD14	CID100002654
J01DD07	CID100002655
J01DD04	CID100002656
S01AA27	CID100002658
J01DC02	CID100002658
L01XX33	CID100002662
M01AH01	CID100002662
C07AB08	CID100002663
J01DB01	CID100002666
J01DD08	CID100002675
C10AA06	CID100002676
R06AE07	CID100002678
R06AE09	CID100002678
N07AX03	CID100002684
L01AA02	CID100002708
N05BA02	CID100002712
D08AC02	CID100002713
R02AA05	CID100002713
S03AA04	CID100002713
D09AA12	CID100002713
A01AB03	CID100002713
S02AA09	CID100002713
B05CA02	CID100002713
S01AX09	CID100002713
P01BA01	CID100002719
C03AA04	CID100002720
R06AB02	CID100002725
R06AB04	CID100002725
N05AA01	CID100002726
A10BB02	CID100002727
C03BA04	CID100002732
M03BB03	CID100002733
D01AE14	CID100002749
G01AX12	CID100002749
C09AA08	CID100002751
B01AC23	CID100002754
A02BA01	CID100002756
J01MB06	CID100002762
S02AA15	CID100002764
S01AE03	CID100002764
S03AA07	CID100002764
J01MA02	CID100002764
L01XA01	CID100002767
N06AB04	CID100002771
N06AB10	CID100002771
D04AA14	CID100002781
R06AA04	CID100002781
J01FF01	CID100002786
G01AA10	CID100002786
D10AF01	CID100002786
N05BA09	CID100002789
S01BA09	CID100002792
D07AB01	CID100002792
J04BA01	CID100002794
G03GB02	CID100002800
N06AA04	CID100002801
N03AE01	CID100002802
N02CX02	CID100002803
C02AC01	CID100002803
S01EA04	CID100002803
B01AC04	CID100002806
N05BA05	CID100002809
G01AF02	CID100002812
D01AC01	CID100002812
A01AB18	CID100002812
N05AH02	CID100002818
N01BC01	CID100002826
R02AD03	CID100002826
S01HA01	CID100002826
S02DA02	CID100002826
M04AC01	CID100002833
R03BC01	CID100002881
D11AH03	CID100002881
A07EB01	CID100002881
S01GX01	CID100002881
R01AC01	CID100002881
B03BA01	CID100002891
B03BA05	CID100002891
B03BA04	CID100002891
M03BX08	CID100002895
S01FA04	CID100002905
L01AA01	CID100002907
S01XA18	CID100002909
L04AD01	CID100002909
R06AX02	CID100002913
G03XA01	CID100002949
M03CA01	CID100002951
D10AX05	CID100002955
J04BA02	CID100002955
L01DB02	CID100002958
V03AC02	CID100002972
V03AC01	CID100002973
A04AD10	CID100002978
