E00171	Nelumbo seed (JP17)
E00172	Rosin (JP17);Colofonium
E00173	Scopolia rhizome (JP17)
E00174	Epimedium herb (JP17)
E00175	Uva ursi fluidextract (JP17)
E00176	Polygonatum rhizome (JP17)
E00177	Crude glycyrrhiza extract (JP17);Glycyrrhiza extract (JP17)
E00178	Platycodon fluidextract (JP17)
E00179	Dolichos seed (JP17)
E00180	Eleutherococcus senticosus rhizome (JP17);Siberian ginseng;Eleuthero
E00181	Exsiccated gypsum (JP17)
E00182	Clove oil (JP17/NF)
E00183	Cinnamomum sieboldii bark
E00184	Nux vomica extract (JP17)
E00185	Pyrethrum extract (USP);Chrysanthemum cinerariaefolium extract
E00186	Dokkatsu;Aralia rhizome (JP17)
E00187	Lilium bulb (JP17);Lily bulb;Byakugo
E00188	Pogostemon herb (JP17)
E00189	Ass hide glue;Asini corii collas;Akyo;Donkey glue (non-JP)
E00190	Ohi;Pruni jamasakura cortex;Cherry bark (JP17)
E00191	Artemisia leaf (JP17);Artemisiae folium;Gaiyo
E00192	Hydrated halloysite;Talcum crystallinum;Aluminum silicate hydrate with silicon dioxide (JP17);Kasseki
E00193	Karonin;Trichosanthis semen;Trichosanthes seed (non-JP)
E00194	Kippi;Citrus peel (non-JP)
E00195	Sanzashi;Crataegi fructus;Crataegus fruit (JP17)
E00196	Zenko;Peucedani radix;Peucedanum root (JP17)
E00197	Cicada slough (non-JP);Zentai;Cicadae periostracum;Cicada larva exuvia
E00198	Bambusae caulis;Tikujyo;Bamboo culm (non-JP)
E00199	Arisaematis tuber;Arisaema tuber (non-JP);Tennansho
E00200	Quercus bark (JP17);Oak bark;Bokusoku;Quercus acutissima bark;Quercus cortex
E00201	Leonurus herb (JP17);Leonuri herba;Yakumoso
E00202	Ryuganniku;Longan aril (JP17);Longan arillus
E00203	Persimmon calyx;Persimmon calyx (non-JP);Kaki calyx
E00204	Ningpo figwort root;Scroplulariae radix;Scrophularia root (non-JP)
E00205	Aster root (non-JP);Asteris radix;Aster root and rhizome
E00206	Myrobalan fruit (non-JP);Chebulae fructus;Myrobalan
E00207	Lonicera flower (non-JP);Lonicerae flos;Lonicera flower bud
E00208	Adenophora root (non-JP);Adenophrae radix
E00209	Earthworm (non-JP);Lumbricus
E00210	Acorus gramineus rhizome (non-JP);Acori graminei rhizoma
E00211	Areca pericarp (non-JP);Arecae pericarpium;Areca fruit peel
E00212	Myricae cortex pulveratus;Myrica rubra bark (non-JP);Myrica bark;Myricae cortex
E00213	Shrub chaste tree fruit (non-JP);Viticis fructus;Vitex fruit
E00214	Chaenomeles sinensis fruit
E00215	Rabdosia herb;Plectranthi herba;Isodon herb (non-JP)
E00216	Aralia elata root bark (non-JP);Araliae cortex
E00217	Nandinae fructus;Nandina fruit (non-JP)
E00218	Mume fructus;Prunus mume (non-JP)
E00219	Nutmeg (JP17);Myristicae semen
E00220	Water chestnut (non-JP);Trapae fructus
E00221	Sophora japonica flower bud;Sophora japoinca flower (non-JP);Sophorae flos
E00222	Sophorae subprostratae radix;Sophora subprostrata root (non-JP)
E00223	Ligusticum sinese rhizome (non-JP);Ligusticum root and rhizome;Ligustici rhizoma
E00224	Perilla fruit (non-JP);Perillae fructus;Perilla frutescens fruit
E00225	Amydae testudo;Soft shell turtle carapace (non-JP);Amyda carapace
E00226	Osmorhizae rhizoma;Osmorhiza rhizome (non-JP)
E00227	Senna pods (non-JP);Sennae fructus;Senna fruit
E00228	Angelica pubescens root (non-JP);Angelicae pubescentis radix
E00229	Belladonna leaf (USP)
E00230	Digitalis (USP)
E00231	Podophylum rhizome;Podophyllum (USP)
E00232	Rauwolfia serpentina (USP);Rauwolfia extract
E00233	Opium tincture (JP17)
E00234	Tolu balsam (USP);Tolu balsam oil
E00235	Almond oil (NF);Sweet almond oil
E00236	Star anise oil (China);Anise oil (NF)
E00237	Caraway oil (NF)
E00238	Cardamom oil (NF)
E00239	Tolu balsam tincture (NF)
E00240	Lemon oil (NF);Lemon tincture (NF)
E00241	Peppermint oil (NF)
E00242	Rose oil (NF);Rose otto;Bulgarian rose oil
E00243	Catharsius;Xylotropes dichotomus;Catharsius molossus
E00244	Basil oil;Sweet basil oil
E00245	Bay oil
E00246	Black pepper oil
E00247	Rosewood oil;Bois de rose oil
E00248	Plantago herb extract
E00249	Cinamomi ramulus;Cinnamon branch;Cinnamon twig (non-JP);Keishi
E00250	Saccharum granorum;Malt extract;Koi (JP17)
E00251	Brown rice (JP17);Kobei
E00252	Goma;Sesami semen;Sesame (JP17)
E00253	Shobaku;Tritici semen;Wheat seed
E00254	Saicha;Theae folium;Chayo
E00255	Malt (JP17);Bakuga;Hordei fructus germinatus;Germinated barley
E00256	Aconitum carmichaeli mother root
E00257	Cinchona bark
E00258	Passiflora extact
E00259	Camptotheca acuminata
E00260	Stephaura cepharantha Hayata extraction alkaloid
E00261	Rosskastanien extract
E00262	Nardostachytis rhizoma;Nardostachys root
E00263	Turtle shell;Tortoise plastron;Fresh-water turtle plastron
E00264	Dianthus above ground part
E00265	Melia bark
E00266	Citron
E00267	Gecko
E00268	Polygonum cuspidatum root
E00269	Coriandrum sativum fruit
E00270	Walnut
E00271	Sumac gallnut;Gallnut
E00272	Trogopterus feces;Flying squirrel feces
E00273	Fenugreek seed
E00274	Cynomorium herb
E00275	Sparganium tuber
E00276	Quisqualis fruit;Rangoon creeper fruit
E00277	Magnetite
E00278	Musk
E00279	Medicated leaven
E00280	Gentianae macrophyllae radix;Large gentian root;Gentiana macrophylla root (non-JP)
E00281	Aquilariae resinatum lignum;Agarwood (non-JP)
E00282	Prepared soybean
E00283	Pyrrosia leaf
E00284	Dendrobium
E00285	Elder
E00286	Rubia root;Madder root
E00287	Inula flower
E00288	Mantidae mantis egg-case
E00289	Star anise
E00290	Salvia root
E00291	Sanguisorba root;Sanguisorbae radix;Burnet root
E00292	Dayflower
E00293	Descurainia seed;Lepidium seed
E00294	Agglomerative substance of Bamboo
E00295	Sichuan-pepper;Zanthoxylum schinifolium fruit
E00296	Male seal sex organ
E00297	Seahorse;Hippocampus
E00298	Codonopsis root
E00299	Rush;Common rush (non-JP)
E00300	Plant worm;Cordyceps sinensis;Vegetative wasp
E00301	Dodder seed;Cuscuta seed
E00302	Oriental arborvitae kernel
E00303	Dictamnus root bark
E00304	Morinda root
E00305	Chinese lobelia
E00306	Dioscorea hypoglauca, Dioscorea tokoro rhizome
E00307	Indian long pepper fruit
E00308	Stiff silkworm (non-JP);Bombyx batryticatus
E00309	Sandalwood
E00310	Ampelopsis root
E00311	Boneset
E00312	Typha pollen
E00313	Somali myrrh;Myrrh
E00314	Blackberry lily root
E00315	Clove fruit
E00316	Curculigo rhizome
E00317	Meliae fructus;Melia fruit (non-JP)
E00318	Valerian rhizome
E00319	Deer velvet
E00320	Chinese angelica root
E00321	Chinese cnidium rhizome
E00322	Chamomillae flos;German chamomile flower (non-JP);Chamomile (NF XXI)
E00323	Lycii folium;Lycium leaf (non-JP)
E00324	Dipsacus asperoides root
E00325	Brassica juncea seed
E00326	Otogiriso;Hypericum herb
E00327	Hematite
E00328	Inula root
E00329	Corn silk
E00330	Psoralea seed
E00331	Glechoma hederacea herb
E00332	Cervus male sex organ
E00333	Sargassum herb
E00334	Cowberry leaf
E00335	Black pepper
E00336	Rhinoceros unicornis, Rhinoceros sondaicus horn
E00337	Ligustrum lucidum fruit
E00338	Citri unshiu pericarpium immaturus;Immature citrus unshiu peel (non-JP);Citrus immature fruit and fruit peel
E00339	Viscum stem
E00340	Xanthium fruit
E00341	Sprouted soybeans
E00342	Cistanche stem
E00343	Boswellia gum substance
E00344	Amomum fruit;Amomi rotundi fructus
E00345	Tussilago farfara flower bud
E00346	Taraxacum root
E00347	Allium leaf sheath
E00348	Hibiscus syriacus bark
E00349	Actinidia polygama gall
E00350	Saxifraga stolonifera herb
E00351	Tremolite
E00352	Polygonati odorati rhizoma
E00353	Kaempferia galanga rhizome
E00354	Trachycarpus fortunei leaf
E00355	Artemisia annua stem and leaf
E00356	Haliotis shell
E00357	Agrimonia herb
E00358	Albizzia bark
E00359	Aconitum japonicum tuberous root
E00360	Aristolochia root
E00361	Speranskia herb
E00362	Isatis root
E00363	Indigo
E00364	Kochia scoparia fruit
E00365	Liquidambar formosana fruit
E00366	Morus leaf
E00367	Nelumbo leaf
E00368	Croton seed
E00369	Cynanchum root
E00370	Daphne flower bud
E00371	Dioscorea bulbifera tuber
E00372	Panacis notoginseng radix;Panax notoginseng root (non-JP)
E00373	Patrinia villosa root
E00374	Periploca sepium root bark
E00375	Picrorhiza rhizome
E00376	Platycladus orientalis branch
E00377	Manis pentadactyla cuirass
E00378	Pulsatillae radix;Pulsatilla root
E00379	Punica granatum fruit peel
E00380	Raphanus sativus seed
E00381	Rhus verniciflua tree sap
E00382	Rosa laevigata fruit
E00383	Daemonorops draco resin
E00384	Eclipta prostrata herb
E00385	Elsholtzia herb
E00386	Equisetum herb
E00387	Erythrina indica bark
E00388	Euphorbia kansui root;Euphorbia kansui radix
E00389	Ganoderma lucidum fruit body
E00390	Scutellaria barbata herb
E00391	Vaccaria pyramidata seed
E00392	Phytolacca esculenta root
E00393	Euphorbia helioscopia stem and leaf
E00394	Morus alba shoot
E00395	Tetrapanax papyriferus stem
E00396	Veratrum root
E00397	Curare
E00398	Coca leaf
E00399	Colchicum bulb;Colchicum seed
E00400	Wormseed;Santonica
E00401	Camphor tree
E00402	Jaborandi leaf
E00403	Yew
E00404	Madagascar periwinkle
E00405	Plau-noi
E00406	Panax quinquefolius root;American ginseng
E00407	Anemone altaica rhizome;Rhizoma anemone
E00408	Knoxia valerianoides root
E00409	Pleione pseudobulb
E00410	Homalomena rhizome;Homalonemae rhizoma
E00411	Semiaquilegiae radix;Semiaquilegia adoxoides root
E00412	Pseudostellariae radix;Pseudostellaria heterophylla tuberous root
E00413	Bletillae tuber;Bletilla striata corm
E00414	Cynanchum root and rhizome;Cynanchi stauntoni rhizoma et radix
E00415	Stemonae radix;Stemona root
E00416	Cibotium barometz rhizome
E00417	Pharagmitis rhizoma;Phragmites communis rhizome and stem
E00418	Tinospora tuberous root;Tinosporae radix
E00419	Boehmeriae radix;Boehmeria nivea root
E00420	Anemone raddeana root;Anemones raddeanae rhizoma
E00421	Processed changium smyrnioides root
E00422	Stellaria dichotoma root
E00423	Alocasia odora rhizome
E00424	Drynariae rhizoma;Drynaria rhizome
E00425	Dryopteris, Athyrium rhizome
E00426	Dichroae radix;Dichroa febrifuga root
E00427	Allium chinense bulb (non-JP);Allii chinensis bulbus
E00428	Echinops latifolius root
E00429	Physalitis rhizoma et radix;Physalis alkekengi root and rhizoma
E00430	Cirsium root, rhizome or herb
E00431	Hydnocarpus anthelmintica seed;Hydnocarpi semen
E00432	Aristolochia fruit;Aristolochiae fructus
E00433	Gleditsia sinensis seed
E00434	Anethi fructus;Anethum graveolens fruit
E00435	Momordicae semen;Momordica cochinchinensis seed
E00436	Astragalus complanatus seed;Astragali semen
E00437	Alpiniae galangae fructus;Alpinia galanga fruit
E00438	Amomi tsaoko fructus;Amomum tsaoko fruit
E00439	Alpinia katsumadai seed (non-JP);Alpiniae katsumadaii semen
E00440	Litchi semen;Litchi chinensis seed
E00441	Citrus medica fruit peel
E00442	Prunus humilis, Prunus japonica seed
E00443	Euphorbia lathyris seed;Euphorbiae lathyridis semen
E00444	Allii tuberosi semen;Allium tuberosum seed
E00445	Celosia argentea seed;Celosiae semen
E00446	Linum usitatissimum seed;Flaxseed;Lini semen
E00447	Hovenia dulcis fruit or seed;Hoveniae semen seu fructus
E00448	Sterculia seed;Sterculiae semen
E00449	Piper cubeba fruit;Cubrbae fructus
E00450	Vigna angularis seed;Phaseoli semen
E00451	Euryales semen;Euryale ferox seed
E00452	Ricinus communis seed;Ricini semen
E00453	Firmianae semen;Firmiana platanifolia seed
E00454	Broussonetiae fructus;Broussonetia papyrifera fruit
E00455	Daucus carota fruit
E00456	Morus alba syncarp;Mori fructus
E00457	Torreyae semen;Torreya grandis seed
E00458	Akebiae fructus;Akebia fruit
E00459	Abutili semen;Abutilon seed
E00460	Prinsepia uniflora putamen;Prinsepiae semen
E00461	Oroxylum indicum seed;Oroxyli semen
E00462	Iridis semen;Iris pallasii seed
E00463	Momordica grosvenori fruit;Momordicae fructus
E00464	Viola harb
E00465	Verbenae herba;Verbena officinalis herb
E00466	Stellaria media herb;Stellariae herba
E00467	Portulaca oleracea herb;Portulacae herba
E00468	Conandri herba;Conandron ramondioides herb
E00469	Otteliae herba;Ottelia alismoides herb
E00470	Tetragoniae herba
E00471	Desmodii herba;Desmodium styracifolium herb
E00472	Lycopus lucidus herb;Licopi herba
E00473	Potentilla discolor herb
E00474	Selaginella tamariscina herb;Selaginellae herba
E00475	Pistiae herba;Spiroelae herba;Spirodela polyrrhiza herb
E00476	Pyrola herb (China);Pyrolae herba
E00477	Lysimachiae herba;Lysimachia foenum-graecum herb
E00478	Polygonum herb
E00479	Abri herba;Abrus cantoniensis herb
E00480	Lepisorus herb;Lepisori herba
E00481	Ajugae herba
E00482	Photinia serrulata leaf
E00483	Vitis-idaea;Vaccinium vitis-idaea leaf
E00484	Lophatherum gracile herb
E00485	Querci folium;Quercus salicina leaf (non-JP)
E00486	Celosia flower cluster;Celosiae flos
E00487	Puerariae flos;Pueraria flower
E00488	Prunus mume flower bud;Mume flos
E00489	Chimonanthi flos;Chimonanthus praecox flower bud
E00490	Eriocaulon herb
E00491	Buddleiae flos;Buddleja officinalis flower bud or inflorescence
E00492	Rosae rugosae flos;Rosa rugosa flower bud
E00493	Campsis grandiflora flower;Campsitis flos
E00494	Nelumbo nucifera stamen;Nelumbinis stamen
E00495	Gratati radix cortex;Granati cortex;Punica granatum bark or root bark
E00496	Pseudolarix kaempferi bark;Pseudolari cortex
E00497	Piperis wallichii caulis;Piper wallichii stem with leaf
E00498	Spatholobus suberectus, Mucuna birdwoodiana stem
E00499	Gleditsia sinensis spine;Gleditsiae spina
E00500	Aralia elata bark, tree, and root bark;Araliae cortex, lignum et radicis cortex
E00501	Ficus pumila leaf and stem;Ficis pumilae caulis
E00502	Asa foetida;Ferula assa-foetida resin
E00503	Liquidambar orientalis balsam;Styrax;Styrax liquidus
E00504	Pistacia khinjuk gum resin;Resina pistacia;Indicae mastiche
E00505	Ulmi pasta;Grinded paste of Ulmus macrocarpia key fruit with flower and leaf
E00506	Galla halepensis;Quercus infectoria galls
E00507	Cicada flammata larva
E00508	Omphalia;Polyporus mylittae sclerotium
E00509	Ganoderma applanatum fruit body;Elfvingia
E00510	Hirudo;Leech
E00511	Faeces leporum;Leporidae feces
E00512	Scorpion
E00513	Vespertilionum faeces;Bat faeces
E00514	Antelopis cornu;Saiga tatarica horn
E00515	Viperidae Agkistrodon halys organ;Agkistrodon japonicae
E00516	Agkistrodon acutus
E00517	Colubridae slough (China)
E00518	Solegnathus hardwickii
E00519	Ambra grisea;Ambergris
E00520	Eretmochelyos carapax;Eretmochelys imbricata carapace
E00521	Cuttlefish oracle bones;Sepiae os;Sepia esculenta Hoyle
E00522	Cypraeidae shell;Cypraeae concha
E00523	Margarita;Pearl
E00524	Human placenta;Hominis placenta
E00525	Chicken stomach lining;Galli stomachichum corium
E00526	Tigridis os;Tiger skeleton
E00527	Eupolyphaga;Blattidae
E00528	Scolopendra;Centipede
E00529	Silkworm feces;Bombycis faeces
E00530	Huechys
E00531	Tabanus;Hematophagous tabanid
E00532	Mylabris;Tiger beetle
E00533	Chrysomyae vermiculus;Chrysomya megacephala larva
E00534	Holotrichia larva;Holotrichiae vermiculus
E00535	Vispae nidus;Polistes, Vespa and Vespula nest
E00536	Protohermes grandis larva;Protohermis vermiculus
E00537	Aspongopus;Stink bug
E00538	Xylocopidae;Xylocopa
E00539	Hydrozincitum;Zinc ore
E00540	Fluorite;Amethyst
E00541	Mica mineral clay;Halloysitum rubrum
E00542	Limonitum;Limonit
E00543	Orpiment;Orpimentum
E00544	Realgar
E00545	Glauberite;Calcitum;Glauberitum;Calcite
E00546	Pumice stone
E00547	Porites nigrescens skeleton
E00548	Chlorite schist;Lapis chloriti
E00549	Loess;Terra flava usta
E00550	Dryobalanops aromatica resin
E00551	Coriandrum sativum herb
E00552	Jasmine oil
E00553	Neroli oil;Orange flower oil
E00554	Lavender oil
E00555	Lavandin oil
E00556	Geranium oil
E00557	Citronella oil (Java)
E00558	Lime oil
E00559	Bergamot oil
E00560	Grapefruit oil
E00561	Amyris oil
E00562	Bitter orange oil
E00563	Cananga oil
E00564	Magnolia salicifolia flower bud (Japan)
E00565	Magnolia denudata flower bud (South Korea)
E00566	Cinnamomum zeylanicum bark
E00567	Cylindrical Cinnamon bark
E00568	Bupleurum chinense root
E00569	Bupleurum scorzonerifolium root
E00570	Wild cherry bark extract;Extract of wild cherry
E00571	Bupleurum longiradiatum root
E00572	Processed aconitum carmicha daughter root
E00573	Processed aconitum carmicha daughter root
E00574	Processed aconitum carmicha daughter root
E00575	Aconitum carmichael daughter root
E00576	Aconitum tuberous root
E00577	Aconitum triphyllum tuberous root
E00579	Processed aconitum japonicum tuberous root
E00580	Aconitum coreanum tuberous root
E00581	Typhonium giganteum corm
E00582	Dianthus herb
E00583	Dioscorea septemloba, Dioscorea futschauensis rhizome
E00584	Arabian myrrh
E00585	Bissabol myrrh
E00586	Brassica hirta seed
E00587	Brassica nigra seed
E00588	Rhinoceros bicornis, Rhinoceros simus, Rhinoceros sumatrensis horn
E00589	Liquidambar formosana fruit resin
E00590	Thlaspi arvense herb
E00591	Sonchus brachyotus herb
E00592	Sonchus oleraceus, Ixeris chinensis, Paraixeris denticulata herb
E00593	Acanthopanax gracilistylus root bark
E00594	Acanthopanax giraldii shaft bark
E00595	Euphorbia pekinensis root
E00596	Tulipa edulis bulb
E00597	Asarum sagittarioides herb
E00598	Woodwardia unigemmata, Woodwardia japonica rhizome
E00599	Changium smyrnioides root
E00600	Arenaria juncea, Silene fortunei, Silene jenisensis, Gypsophila oldhamiana root
E00601	Stellera chamaejasme root
E00602	Euphorbia root
E00603	Woodwardia rhizome
E00604	Osmunda rhizome
E00605	Struthiopteris niponica rhizome
E00606	Sphaeropteris lepifera rhizome
E00607	Orixa japonica root
E00608	Mussaenda root
E00609	Clerodendrum trichotomum root
E00610	Clerodendrum canescens root
E00611	Clerodendrum yunnanense root
E00612	Hydrangea root
E00613	Berberis root
E00614	Dioscorea nipponica root
E00615	Scilla scilloides bulb
E00616	Allium macrostemon bulb
E00617	Rhaponticum uniflorum root
E00618	Echinops grijisii root
E00619	Breea, Cirsium, Ixeris root, rhizome or herb
E00620	Cirsium radix
E00621	Gleditsia sinensis fruit
E00622	Citrus medica flower
E00623	Prunus tomentosa, Prunus triloba seed
E00624	Torilis japonica fruit
E00625	Carpesium abrotanoides fruit
E00626	Lappula echinata fruit
E00627	Amblytropis multiflora root or herb
E00628	Corydalis bungeana herb
E00629	Gentiana lourerii herb
E00630	Polygala japonica herb
E00631	Osbeckia chinensis herb
E00632	Pyrola herb (Japan)
E00633	Ocimum herb
E00634	Euphorbia herb
E00635	Rhododendron leaf
E00636	Phyllostachys leaf
E00637	Arenaria serpyllifolia herb
E00638	Eriocaulon capitulum
E00639	Millettia nitida stem
E00640	Millettia dielsiana stem
E00641	Sargentodoxa cuneata stem
E00642	Platypleura kaempferi larva
E00643	Monodon monoceros maxillary incisor
E00644	Bungarus multicinctus, Elaphe moellendorffi
