H00261	267010;615397;603194;611134;613885;614209;616258;249000;614175;617562;611561;607361;612284
H01253	229070
H00809	600512;616461;616436;614417
H00554	614823;109730
H01994	254780
H02061	615363
H01489	614749;300868;615716;615398;610293;239300;615802;614080;616809;616025;280000;614207
H00278	-
H01844	608022
H00346	-
H01493	-
H01426	-
H02348	125400;125420
H02002	185020
H00457	259100;614441
H02324	615709
H01466	612261;612241;612381
H00036	-
H02155	224410
H02051	155100
H01281	607330
H00440	613454;312750
H00452	166700
H00597	309583
H01536	-
H01888	614976;201000
H02122	616201
H02042	174810
H00347	-
H02089	277950
H01213	600803;611465
H01677	236600;307000;615219
H00229	603903
H00505	187600;616482;187601;100800;146000
H00792	614225;614222;615663;600118
H01690	151590
H01671	-
H02307	609308;613155;236670
H00345	-
H01949	611556
H00864	613229
H01227	612261;611081;612244;612567;612278;266600;612241;613148;612245
H02159	120100;611762;614468;616115
H00296	218600;268400;210900;266280;277700
H01268	238970
H00789	148300
H01306	136630
H02178	303350
H02145	167030
H00731	614022;612240;611819;612201;608583;607554;615377;615378;613980;611493;613120;614049;615770;614050;617280
H00401	-
H00598	300833;400045;617480
H01747	218040
H02362	605751;601764;617080;607745
H00948	612076;220150
H01919	300004
H01314	-
H00291	610448
H00504	180849;613684
H00211	604250;613313;615517;235200;606069;602390
H00660	121050
H00101	214500;214450;607624;260400;245480;254600
H01548	-
H01660	-
H01664	167870
H00015	-
H00041	-
H00207	616154;616716;215100;222765;600121
H01545	-
H02271	616202
H01424	-
H00169	300500;103470
H01087	-
H00116	223100;223000
H00840	251290
H02361	616421
H01907	615961
H01432	200150
H01543	-
H01614	146500
H02041	614167;615946;615431;617238;614292;160700;301010;608908;615420
H00994	300087
H00530	612285;617121;615636;609583;614465;300804;610188;613820;614615;617622;213300;614464;617562;614844;200990;615665;617761;614424;614970;614815;616784;616781;612291;617757;614173;611560;616654;610688;608091;608629;616490;617120;617767
H02188	193520
H01405	-
H01780	608390;255700;168300;160800
H00472	259600
H01119	170100
H01137	-
H00144	252650
H00620	180500;602482
H02334	602342
H01203	231300;613086
H00064	208900
H00971	262300;613856;216900;610024;616517;613093
H01402	601358
H01802	265150
H01480	-
H01057	-
H01552	190685
H00710	617524;133200;618531;617526;617525;617756
H01891	616127;616354;617584;614831;607250;615705;615386;213200;609270;616291;614229;615768;606002;616948;616719;618387;612016;616949;613728;614322;617133;616204;607317;610743
H01985	-
H00498	166260
H01682	300539
H00540	300301
H00889	309520
H00146	609241;609242
H01482	602089
H00512	609069;606176;610199
H00581	104200;203780;301050
H00669	601214
H00002	-
H01210	154020;248190;602014;248250;613882;611718
H00987	208150
H02057	237450
H00586	226730;226700;226650
H00105	613791;614372
H01683	125700;300539
H01291	182920
H00141	230000
H01401	-
H01066	-
H00405	-
H00157	144650
H02236	614098
H01337	-
H01145	209300
H00265	256800;616488;613640;223900;614116;243000;613115;201300;608654;614653;613708;614213;615632;256840;162400;615548;600882
H01097	617008;603513;612900
H02156	616803
H02039	262650
H01319	-
H00422	230000;248500;208400;248510;609241;256550;256540;609242
H00705	255700;160800
H01832	151050
H00561	600430
H00406	-
H00844	169600
H01586	-
H02020	613546
H01258	609446
H01774	607636;239100
H00650	300523
H02225	215600
H00907	610253;617768
H00737	616265;609796;617115;270300;607936
H01486	615398;300868;614080
H01375	300908
H00684	167210;615726;615728;167200
H00544	182230
H00965	266280
H00826	110100
H01327	-
H00877	607595
H01239	611721
H02328	617159
H00574	303600
H01121	245050
H00589	133780;613310;305390;601813
H00700	614807;614408;615959;255200;160150;310400
H01825	250220
H01707	-
H00303	-
H01782	613412;610247
H00823	600501
H00025	-
H02384	605552;615812;618620
H02091	220400;612347
H01099	-
H01809	185300
H00388	-
H01778	254090;616470
H00829	601606
H00039	-
H02110	126600
H00357	-
H00489	609016
H01370	269880
H00492	300582;127300;249700
H00424	228000;257200;607616
H01921	300749
H01600	-
H00862	137580
H02301	-
H02407	-
H02228	102370
H01863	-
H00582	141200
H00626	603965;612551;614131;603278;613237;616220;607832;616002;616032
H01795	300895;613792;603736
H01972	240300
H02118	202650
H00841	211500;211530
H00259	218030
H01217	613955;105250
H00956	122200;608471
H02030	239200
H01760	306000;232700;232400;232200;240600;261750;613027;232240;232500;232220
H01582	-
H00720	220400;600919;611819;611818;612955;616247;613485;611820;613688;192500;603830;170390;612347;601005;613693;616249;613695
H02296	129200
H01324	-
H01630	611788;617039;132900;607411;617035
H01775	300088
H00942	262190
H01468	-
H01842	-
H01584	-
H01544	-
H01691	-
H00339	-
H00071	229600
H02121	610443
H01071	610251
H00038	-
H00312	-
H00092	601457;615966;602450;102700;267500
H00927	246700
H01725	-
H01738	611553;616564;163950;610733;613706;615355;613224;609942;616559
H00005	-
H01791	182290
H01343	-
H02174	608800
H00096	607676
H01498	245600
H01301	613730
H00693	146800
H01386	615574
H00315	-
H01273	148190
H01084	-
H00901	220100
H01086	-
H00076	133540;216400
H02345	618124
H02100	616154
H00246	239200;145000;617343;145001
H01484	153550
H00910	600155;142623;613712;613711
H00384	-
H00389	-
H00609	261550
H01023	174900
H02219	124480
H02356	609136
H01946	612933
H02282	616657
H00682	241080
H00129	309900
H00307	-
H02048	150250
H01478	109150
H01256	609218;136520
H00077	260540;601104
H02206	604290
H01765	-
H01323	-
H02157	266920;614376;613091;617405;615633;617088;616546;615503;611263;613819;614091;263520;616300;617866;617895;617925;617102;613602;208500;615630
H01488	614749;615716;239300;616809;616025;614207
H01320	-
H02270	611543
H01892	-
H00674	612631;266120
H00480	300844;300802;300912;300923;300978;309541;300577;300387;300803;300271;300210;300114;309549;300850;300419;300849;309530;300919;300436;300143;300659;300984;300983;300957;300558;300982
H02347	617107
H00007	-
H01801	608149
H02300	615155
H00602	103900
H02171	-
H00215	170400;170390;170500
H00790	601952
H00175	606054
H00717	612908;148700;607654
H00914	613398
H01295	613068
H01335	-
H01654	-
H00140	248510
H00154	615947;207750;238600
H01772	300200
H00874	613724
H01518	-
H00648	129500
H01674	106300
H01354	220111;256000
H00591	158900;158901
H01157	-
H01828	258480
H01222	615107;615106;612359;615108;615109;616858;158350
H01236	118600
H01042	-
H02154	258315;164745
H00132	253220
H01521	-
H01929	616034
H01872	614261
H00522	113500;612847;271530
H00772	167400
H00083	-
H00838	616219;600638;602078;135700
H02315	613571
H00516	608864;119530;613705;616788;225060;608874;129400;600625
H02018	615346;176400
H01190	275350
H02383	300990
H00778	186570
H01110	173600
H02229	300244
H00204	266510
H02215	600131;607681;611942;611136;612269
H01812	-
H02001	609153;194380
H00959	121800
H01437	162210;162200
H01353	-
H01474	-
H01988	123150
H02179	606072
H00187	311250
H01938	613280;617013
H01701	-
H01212	604218
H00130	252900;252930;252940;252920
H00916	209880
H01003	268900;605850
H02086	615453;615838;615824;124000;615158;615160;615157;615159;616111
H00493	258315;224410;133701;312870;133700;255800
H01000	192315
H01177	500003;271930
H00884	145250
H02353	300607
H00465	300624
H01873	-
H01380	-
H01088	172870
H01192	612394
H00123	253000;253010
H01175	-
H00613	114000
H00614	228600
H00696	245010
H01886	600920
H02021	214500
H00668	230450;231900;614164;300908
H00594	604454;617030;613319;160500;606768;254130;614065;614321;600334;605820
H00550	608808;613854;613853
H00396	-
H01644	-
H00627	300511;612310;300510;300604;618014;611548;617442;612964;615724;311360;615723;616946;616947;612885;608996
H01971	304790
H00060	125370
H01072	-
H01411	-
H02139	613312;241520
H00694	300555;300009
H01656	614204;177900;614070;616106;602723
H01827	300643;245570
H00153	602491;144250
H01803	178370
H02144	212840
H02193	614972;147480
H01339	-
H00584	615028;617294;131960;131800;131760;609638;131900;609352;601001
H00920	612714
H02167	153400
H00280	-
H00657	300718;300717
H00670	158000
H01374	-
H02290	616722
H01763	176100;121300;300752;176000;177000;176200;125270;263700
H00687	219000
H00564	617577;615294;617091;615872;608647;615500;615481;244400;613808;615444;612650;616726;608644;613807;612649;614017;617092;612444;613193;615067;615505;610852;611884;618063;614679;616481;606763;615451;614935;614874;616037;612518;615482;615504;300991
H02259	185070
H00473	611126;252010
H01527	-
H01027	610093;616428;615113;615145;610092;613094;300345;611038;613517;613703;611638;601186;251600;614497;611040;613704
H01953	612932
H01106	613329
H02176	219050
H01950	240600
H01417	-
H02008	230400
H00298	-
H00167	261630;261640;233910;261600;264070
H00128	607014;607016;607015
H00935	610313;272430;617055
H02200	615889
H01409	-
H00340	-
H00578	153650
H01399	-
H01806	616260
H01996	608782
H00921	268130
H01461	-
H02327	148050
H01024	610069
H00977	190350;150230;190351
H00127	250100;249900
H01911	614499;613671
H00549	187500
H00349	-
H00628	617308;607765;213700;214950;613812;616278;235555
H01680	167800
H02108	126700
H00119	613612;616829;266265;611209;608779;614727;606056;607091;212066;603585;616721;617395;613489;300896;614576;616828;611182
H00249	145650;188570;274300
H00658	301008;300238;300676;300260;300986;300263;300886;300860;300354;300967;309548;300966;300123;300706;300055;300799;300534;300423;300699;300486
H00021	-
H01255	607371
H01094	261500
H02283	147750
H01559	-
H02218	220500
H01226	174700
H00511	263520;615503;614091;613091
H02102	139210
H00900	614185;231050
H01245	300584
H00014	-
H02249	259050
H01718	-
H01769	617140
H01058	-
H00292	115197;613243;608751;612098;613690;115196;192600;600858;612124;613251;613255;188840;115195;608758
H01481	614286
H01477	615237
H00812	-
H02164	-
H00970	606353
H01169	-
H02223	602361
H00896	606690
H02085	611126
H00513	601410;610374;610582
H00461	147891
H00691	113800
H00724	193900
H00831	616411;118800;605407;128235;617282;128100;128230;224500;128200;615073;615034;612126;159900;314250;614860;602629;616398;617284;612067;612716
H00506	259420;166210;615066;614856;259440;610967;613982;616507;613848;166220;610682;616229;166200;615220;610915;613849;610968
H01648	-
H02244	225410
H01036	609033
H01581	-
H00162	270200
H00491	123000
H00535	153100;613480;615907;616843
H01195	276950;314390;192350
H00507	224230;127550;613988;613989;615190;616353;613987;616553;305000;613990
H01438	101000
H00324	-
H01998	614111
H01542	-
H01798	193235
H01590	-
H00606	615476;616341;617389;613720;613722;617065;616346;617830;617904;617105;617106;617929;114010;609304;617350;300884;617020;615006;615744;300607;616139;616409;613477;617933;617276;615871;615833;615338;616981;613721;616645;300088;308350;617391;613402;612164;617938;617153;616056;300672;615905;617281;617771;616211;615859;617339;614558;616366;616647;617166;300896;616339;617599;617113;615473;617665;617162;617132;617976
H00368	-
H00448	165800
H02268	314580
H01345	-
H01933	616063;614714;175900;616631;175800
H01305	612949
H01923	616817;616033
H01794	606170
H00500	245150
H02184	156530
H02195	300148
H01553	-
H01666	-
H01318	-
H00665	248370;608612
H01079	601815
H00738	609165
H01703	606788;610269
H00115	222900
H01909	240900
H00369	-
H01833	-
H02364	616920
H01085	-
H00421	601492;252900;253010;253220;252940;607016;253000;309900;253200;252930;252920;607015
H00079	-
H01679	-
H02060	614963
H01252	229050
H01264	235550
H00174	251120;251110;251100;251000
H01843	117650
H00271	615752;606854;616531;612691;300388
H01762	613507;612932;232800;232600;612933;300559;261670;614921;232400;611556;611881;232500;232300
H02019	176410
H00047	-
H01665	-
H00469	615418;612075;615471;603041;251880;609560;245400;616896;612073;203700;617156;613662;615084;271245;221350;256810
H02230	314400
H00548	300615
H00759	277580;609136;193510;613266;611584;193500;608890;148820;613265
H01983	212138
H00575	267430
H01129	601003
H00330	-
H00139	248500
H01404	175860;101850;148600;614936
H00917	224120;613673;224100;615631
H01038	601238
H00525	201450;212140;255110;201470;600649;611126;616034;231530;609015;609016;608836;255120;212138;201475;610006
H00661	604308
H00775	141500;609634;602481
H00761	612847
H01589	212140
H00590	613204;602541;613205;617066
H01826	-
H02094	615821;605676
H00028	-
H00988	226200
H00640	603543
H02222	309541
H00770	616326;616314;616321;616324;608930;616323;614750;601462;617143;616040;616313;614198;618197;254300;616720;616322;254210;618198;616330;616304;610542;616224;616325;618323;603034;616228;617239;608931;615120;605809;616227
H02365	615873
H00309	-
H00460	140000
H01513	-
H02134	206920
H00836	606777;612126
H00899	222700
H00118	610768;609180;612937;608104;615596;615597;300884;612379;601110;614507;616457;608799;617082;602579;300934;615042;608093;612015;607143;608776;603147;614921;615273;608540;607906;212065;613661
H00051	-
H00362	-
H01937	236500
H01624	-
H01618	300943
H00225	274150
H01004	192430
H02029	-
H00727	601536
H01248	245340
H00837	613843;204000;612712;615360;610612;613835;613829;613341;613826;614186;604232;608553;204100;611755;604393;613837;604537
H01752	309580;301040
H00984	604571
H01595	-
H01515	-
H00944	179850;615327
H00740	308205
H00902	602081
H01546	-
H00133	601492
H01649	181500
H01694	608579
H01956	261740
H01034	303350;304100;307000
H02185	184255;602271;184252
H02346	606220
H00546	614433;611363;613087;614089;607941;108900;108800;614475;612794
H01720	166900
H00978	601399;616216;188000;313900;612004;273900;616937;314050
H00722	144200
H00301	-
H00375	610006
H00629	200500
H01433	600880
H00164	237300
H00623	102500
H01296	162500
H01394	615522
H01262	229100
H01517	-
H00842	226400
H00788	300240
H01238	606232
H00150	300257
H00539	158350;153480
H00867	605432;616738
H02052	605249
H00455	182980;301830;313200;300489;271150;253300;253400;615290;253550;158600
H01830	613320
H00779	276901;614504;276904;601067;605472;602083;276902;614869;276900;611383;606943
H00781	224750
H00537	614377;611498;617271;602088;614845;613820;613615;614844;606966;256100;615862;616217;604387;609254;613159;610189;613824;615382;613550
H01633	-
H02025	254600
H01104	-
H00566	606768
H00236	611783;133100;609820;263400
H02199	615779;613854;306955;614980;617912
H00326	-
H01132	609135
H01159	617315;617319;604229;269400;601631;137600;107250;610256
H02183	168400
H00336	-
H00811	601680;108145;193700;158300;614335;114300;108120;121050;615065
H00359	-
H00769	614619;618011;614618;149400
H01412	267000
H00677	180920
H02256	227500
H01363	551500
H02175	300758;300633
H02310	145260;179800;177735;604278;264350;259730;267300;602722
H00266	182601;605280;600363;615035;603563;604805;616451;615491;616907;614067;182600;614409;611225;616282;613647;614898;270750;612020;610357;610244;615031;615043;616680;601162;604360;248900;270685;613744;615625;615686;615685;615658;617225;270700;610250;612539;604187;613162;615683;612319;609340;615030;615033;303350;275900;270800;615681;612936;613206;609195;614066;617046;607259;312920;616586
H01065	260800
H00865	611369;607598;614915;615368;617022;616248;616286;617194;253310;616503;616287
H01074	-
H00191	605899
H01692	-
H00835	271980
H01643	-
H00202	176100;121300;176000;176200;125270
H01516	-
H01857	272440
H00285	186580
H01753	201750;207410
H00652	147250
H00698	609273;609285;609284;617336;616165;161800;605355;615731;256030;615348;610687
H02214	617118;617116;617935;604364
H00876	608089;614385;120435;614350;609310;613244;276300;614337;158320
H00647	613573
H00366	-
H01174	214700;615863;616868;270420;251850;614616;613217;610370
H00664	235700;222800;613470;190450;300653
H02092	277480;193400;613554
H01346	210900
H00218	219700
H01572	616294;112240
H01858	-
H00895	109400
H01889	613800;617063;616835;613804;613805;613803;224690
H02011	162000;613092;617056
H02015	606593
H01920	309510
H02205	617303
H02044	600195
H01829	-
H01810	-
H02403	-
H00219	277480;306900;613554;193400;177820;306700
H01538	-
H00846	228930
H01530	-
H01562	-
H00486	269500;614305
H01719	-
H02292	616108
H01603	617027;615474;613677;103900
H01293	161400;614250
H00223	300807;612336;176860;613116;107300;188040;188050;612304;612356;188055
H00745	170500
H01162	262890
H00478	176270
H00217	-
H00471	220600;225300;605289;183600;616890
H01419	-
H00065	203450
H01091	-
H00887	611771
H01012	612109
H01640	150699
H00447	215140
H02187	617974;602557;184250;610442;616723;612813
H00117	259900;260000
H00796	125595
H00667	278150;604379;194300;616760
H00093	615206;616098;612782;618204;233650;615593;615897;615607;308230;613179;616433;312863;603554;617638;615468;615592;612783
H01454	-
H00230	270970;612653;182900;616649;612690
H00337	-
H00087	-
H00094	606593;208900;604391;251260;210900
H01551	-
H02337	617616
H00171	235800
H00712	602540;148210
H01673	144200
H01658	-
H02392	-
H01751	277590
H00701	255310
H02140	215470
H02240	617174;130080
H01916	300434
H01244	609889
H01041	-
H01605	-
H00928	609057
H01068	-
H01115	612674
H01900	617086;614388
H01178	-
H01391	615040;615552;615551
H01173	184900
H01852	174200;615226
H01116	303100
H00183	236200;236270;236250
H02393	-
H01366	-
H01491	-
H01620	-
H00676	610256
H01915	301900
H00847	276820
H01125	266140
H01355	530000
H02309	102700
H02117	256520;616038
H00573	107480
H00607	194080;614279;613762;607080;616067;136680;612965;400044;613080;233420;300018;114290
H00439	617941;260400
H00941	234000
H01230	169500
H00382	-
H01240	188030
H00417	203800
H00680	125350
H01566	-
H00996	609056
H00538	606996;266900;609254;610189;613615;616307;616629
H00791	175900
H00571	243800
H01286	612290
H00951	608470
H01234	602079
H00415	-
H00649	614931;614929;602032;617392
H00299	-
H00149	204200;204300;256730;600143;256731;615362;609055;601780;610951;610003;204500;610127;162350;614706
H01822	-
H00257	231550;615510
H01793	603736
H00290	612952;610181;615010;610329;225750;610333;615846
H01398	207900;207800;215700;605814;237300;238970;237310;311250;603471
H00114	229700
H01522	131100
H00918	217095
H01246	119900
H00869	603896
H00135	245200;611722
H00172	246900;615135;248600
H01885	615938;603387;615937
H02207	606693
H00888	612287;612286
