DB00410	D01076
DB00411	D00524
DB00412	D00596
DB00413	D00559
DB00414	D00219
DB00415	D00204
DB00416	D00761
DB00417	D05411
DB00418	D00430
DB00419	D05032
DB00420	D08430
DB00421	D00443
DB00422	D04999
DB00423	D00402
DB00424	D00147
DB00425	
DB00426	D00317
DB00427	D01782
DB00428	D05932
DB00429	D00682
DB00430	D01904
DB00431	D00360
DB00432	D00391
DB00433	D00493
DB00434	
DB00435	D00074
DB00436	D00650
DB00437	D00224
DB00438	D07654
DB00439	
DB00440	D00145
DB00441	D02368
DB00442	D04008
DB00443	D00244
DB00444	D02698
DB00445	
DB00446	D00104
DB00447	D00916
DB00448	D00355
DB00449	D02349
DB00450	D00308
DB00451	D08125
DB00452	
DB00453	D06885
DB00454	D08343
DB00455	D00364
DB00456	D07635
DB00457	D08411
DB00458	D08070
DB00459	D02754
DB00460	D01162
DB00461	D00425
DB00462	D00715
DB00463	D01382
DB00464	D06882
DB00465	
DB00466	
DB00467	D00310
DB00468	
DB00469	D01767
DB00470	D00306
DB00471	D08229
DB00472	D00823
DB00473	
DB00474	D04985
DB00475	D00267
DB00476	D01179
DB00477	D00270
DB00478	D08483
DB00479	D02543
DB00480	D04687
DB00481	
DB00482	D00567
DB00483	
DB00484	D07540
DB00485	D02348
DB00486	D05099
DB00487	D02306
DB00488	
DB00489	
DB00490	D07593
DB00491	D00625
DB00492	D00622
DB00493	D07647
DB00494	D00781
DB00495	D00413
DB00496	D01699
DB00497	D05312
DB00498	D08354
DB00499	D00586
DB00500	
DB00501	D00295
DB00502	D00136
DB00503	D00427
DB00504	
DB00505	
DB00507	D02486
DB00508	D00390
DB00509	
DB00511	D06881
DB00512	D00212
DB00513	D00160
DB00514	D03742
DB00515	D00275
DB00516	
DB00517	D00232
DB00518	D00134
DB00519	D00383
DB00520	D07626
DB00521	D07624
DB00522	D01346
DB00523	D02815
DB00524	D00431
DB00525	D00381
DB00526	D01790
DB00527	D00733
DB00528	
DB00529	D00579
DB00530	D07907
DB00531	D07760
DB00532	D00375
DB00533	D00568
DB00534	
DB00535	D00917
DB00536	
DB00537	D00186
DB00538	D01646
DB00539	
DB00540	D08288
DB00541	D08679
DB00542	D07499
DB00543	D00228
DB00544	D00584
DB00545	D00487
DB00546	D02770
DB00547	
DB00548	D03034
DB00549	D00411
DB00550	D00562
DB00551	D00220
DB00552	D00155
DB00553	D00139
DB00554	D00127
DB00555	D00354
DB00556	D01738
DB00557	D08054
DB00558	D00902
DB00559	D01227
DB00560	D01079
DB00561	D07873
DB00562	D00651
DB00563	D00142
DB00564	D00252
DB00565	
DB00566	D00572
DB00567	D00263
DB00568	D01295
DB00569	
DB00570	
DB00571	D08443
DB00572	D00113
DB00573	D00968
DB00574	
DB00575	D00281
DB00576	D00870
DB00577	D00398
DB00578	D07614
DB00579	D00367
DB00580	
DB00581	D00352
DB00582	D00578
DB00583	D02176
DB00584	D07892
DB00585	D00440
DB00586	D07816
DB00587	D02846
DB00588	D01708
DB00589	D08132
DB00590	D07874
DB00591	D01825
DB00592	D00807
DB00593	D00539
DB00594	D07447
DB00595	
DB00596	
DB00597	D01137
DB00598	D08106
DB00599	
DB00600	D05072
DB00601	D00947
DB00602	D00804
DB00603	D00951
DB00604	D00274
DB00605	D00120
DB00606	D01256
DB00607	
DB00608	D02366
DB00609	D00591
DB00610	
DB00611	D00837
DB00612	D02342
DB00613	D02922
DB00614	D00830
DB00615	D00424
DB00616	D01070
DB00617	D00495
DB00618	D00290
DB00619	D01441
DB00620	D00385
DB00621	D00462
DB00622	
DB00623	D07977
DB00624	D00075
DB00625	D00896
DB00626	D00128
DB00627	D00049
DB00628	D00694
DB00629	D04375
DB00630	
DB00631	
DB00632	
DB00633	D00514
DB00634	D05947
DB00635	D00473
DB00636	D00279
DB00637	D00234
DB00638	D00171
DB00639	D07598
DB00640	D00045
DB00641	D00434
DB00642	D07472
DB00643	D00368
DB00644	
DB00645	
DB00646	D00202
DB00647	D07809
DB00648	D00420
DB00649	D00445
DB00650	D07986
DB00651	D00691
DB00652	D00498
DB00653	D01108
DB00654	D00356
DB00655	D00067
DB00656	D08626
DB00657	
DB00658	D01983
DB00659	D07058
DB00660	D00773
DB00661	D02356
DB00662	D08643
DB00663	D04208
DB00664	D01216
DB00665	D00965
DB00666	
DB00668	D00095
DB00669	D00451
DB00670	D08389
DB00671	D00258
DB00672	D00271
DB00673	D02968
DB00674	D04292
DB00675	D08559
DB00676	D01138
DB00677	D00043
DB00678	D08146
DB00679	D00373
DB00680	D05077
DB00681	D00203
DB00682	
DB00683	D00550
DB00684	D00063
DB00685	
DB00686	
DB00687	D07967
DB00688	D00752
DB00689	D01949
DB00690	D00329
DB00691	
DB00692	
DB00693	D01261
DB00694	D07776
DB00695	D00331
DB00696	D07906
DB00697	
DB00698	D00439
DB00699	D01290
DB00700	D01115
DB00701	D00894
DB00702	
DB00703	D00655
DB00704	D05113
DB00705	
DB00706	
DB00707	
DB00708	D05938
DB00709	D00353
DB00710	
DB00711	D07825
DB00712	D00330
DB00713	D08307
DB00714	D07460
DB00715	D02362
DB00716	D05129
DB00717	D00182
DB00718	D01655
DB00719	
DB00720	
DB00721	D08422
DB00722	D00362
DB00723	D08201
DB00724	D02500
DB00725	D02070
DB00726	D00394
DB00727	D00515
DB00728	D00765
DB00730	D00372
DB00731	D01111
DB00732	D00758
DB00733	
DB00734	D00426
DB00735	
DB00736	D07917
DB00737	D08163
DB00738	
DB00739	D01074
DB00740	D00775
DB00741	D00088
