LMFA03020006	C05951
LMPK13040003	C10307
LMFA02000034	C04717
LMPR0102090047	C12302
LMGL03010000	C00422
LMPR01070267	C08587
LMST05010009	C11131
LMPR0102120008	C03037
LMPR0102120045	C03037
LMST02020066	C05284
LMFA01050453	C04272
LMPR0102090061	C09854
LMST05010016	C11246
LMPK12040006	C10182
LMST02030183	C04518
LMFA03010160	C04686
LMPR0102090056	C01951
LMFA01170049	C02360
LMST01031014	C04416
LMFA03010025	C02314
LMPK05000006	C12176
LMFA01030158	C03242
LMST01010203	C04814
LMST02030170	C03681
LMPR0106130002	C08630
LMST02030162	C00891
LMST02020064	C05139
LMPK05000001	C12796
LMPR03030007	C04145
LMFA01050452	C06007
LMPR0102070008	C09776
LMPK12100002	C09275
LMFA12000007	C08394
LMFA01020276	C03467
LMPR01070293	C14044
LMPK12140002	C05631
LMPK13090011	C10273
LMST01120022	C01443
LMFA01170072	C04324
LMFA01030147	C08315
LMFA01060172	C03508
LMFA01030073	C01712
LMFA09000002	C13832
LMST01031020	C11508
LMGL0501AB00	C04046
LMPR0102010001	C00341
LMFA05000649	C08447
LMPK04000042	C12753
LMSL01010002	C00203
LMPR0104170022	C11865
LMST01120013	C08858
LMST01010205	C03091
LMFA01170041	C00383
LMFA01070020	C04867
LMST01010149	C11455
LMFA03080004	C14770
LMFA03090011	C14770
LMFA01050486	C01216
LMST01020036	C02681
LMPK13090024	C14763
LMST02030184	C03747
LMPK12010001	C05908
LMPR01070275	C08602
LMFA01100041	C01826
LMPR0102070028	C11659
LMFA01010002	C00033
LMPK05000004	C01849
LMPR0104170001	C00859
LMPR01070086	C05431
LMFA01010019	C16535
LMGP0305AA00	C05974
LMFA01120002	C13958
LMST05010014	C11136
LMFA07050201	C05450
LMFA03090003	C14810
LMPR0103690007	C09631
LMFA06000098	C01838
LMPK13090038	C10268
LMPR0102120003	C01765
LMPR0104170023	C11866
LMFA07050164	C00683
LMPR0102090010	C02576
LMPK12010002	C05905
LMFA07070006	C03299
LMPR0104030003	C11902
LMPR0104010002	C01389
LMFA01170051	C02656
LMPK04000009	C06616
LMPR0102120030	C14515
LMFA05000695	C01844
LMST01010111	C08801
LMPR0104170016	C11859
LMPR0102070027	C11658
LMST01030135	C15780
LMPR0103650003	C12142
LMPR01070297	C06734
LMPR0106180007	C08988
LMPK13090034	C10254
LMPR0102090028	C09902
LMPR01090017	C16681
LMPK13090015	C10287
LMFA01170065	C02167
LMPK13090016	C13702
LMFA07060020	C05763
LMST04030113	C05453
LMPR0102090019	C09844
LMFA03060007	C14777
LMPR01070255	C05421
LMST04010032	C02528
LMST01160016	C08635
LMFA07010992	C04780
LMPR0102070030	C11663
LMPR0103330005	C16028
LMFA07050294	C00540
LMPR0102010008	C09849
LMFA08030005	C11842
LMPK13040015	C10401
LMST01030093	C01694
LMST02030001	C00735
LMPR0102120042	C02952
LMPK13040002	C10294
LMPR0104030001	C06089
LMST01010114	C08804
LMPR0104170040	C06093
LMPR01070271	C08594
LMPR0102070010	C09783
LMPR0102090018	C09841
LMPR0102120009	C03190
LMPK06000002	C06573
LMPK13090030	C16014
LMFA01170054	C08261
LMST05040005	C05465
LMPR01070263	C08580
LMST01120011	C08856
LMSP06020000	C06125
LMSP06020015	C06125
LMSP06020010	C06125
LMSP06020002	C06125
LMSP06020009	C06125
LMFA01060173	C03656
LMFA07050328	C05270
LMFA07050232	C03069
LMFA07070005	C03017
LMFA07070105	C03017
LMFA01050483	C02630
LMPR0102090007	C01767
LMPK12140001	C00509
LMPR0102070014	C09792
LMFA03050006	C14773
LMST01120012	C08861
LMPR0102070021	C11650
LMST02020001	C00523
LMPK13050002	C01907
LMFA03010142	C13802
LMFA07050372	C16529
LMPK04000020	C11967
LMFA07060036	C12363
LMFA07050144	C05272
LMST04030162	C05445
LMPK04000005	C01754
LMPK13090026	C15131
LMST02010040	C13077
LMPK13090037	C10259
LMPR01070299	C05414
LMPR01070084	C05414
LMPR0103690006	C09630
LMPR01070266	C08586
LMPR0104540003	C07603
LMFA03080012	C04849
LMPR01010001	C00235
LMFA01030763	C00712
LMFA01030002	C00712
LMPR0102070002	C01852
LMST04010040	C04483
LMPR0103190014	C09723
LMFA02020009	C08490
LMPR0105050001	C09145
LMST01100009	C08920
LMFA01010008	C06423
LMFA01100043	C02261
LMST04030109	C05452
LMFA07050345	C00083
LMPR0104170002	C01699
LMPR0104170029	C11905
LMFA05000061	C00823
LMPK13090033	C10253
LMFA07060009	C05751
LMFA07050248	C16216
LMST02010035	C05302
LMFA07050366	C03724
LMFA01060004	C06255
LMPR0103330001	C06394
LMPK12140003	C01709
LMPK13090028	C15296
LMPR0102070015	C09801
LMST02010038	C11228
LMST01040129	C01753
LMGP04010000	C00344
LMGL0501AG00	C13508
LMFA01100039	C00334
LMFA01010000	C00162
LMST01080005	C08913
LMFA07010880	C03425
LMGP03010000	C02737
LMGP12010000	C05980
LMFA01031001	C11354
LMFA03020078	C11361
LMFA03020079	C11361
LMFA01010022	C08281
LMFA11000005	C08384
LMFA03060075	C14815
LMFA05000568	C17144
LMPR0102090021	C09875
LMSP02020000	C12126
LMFA01030994	C18202
LMPR0104170018	C11861
LMPR0106150014	C02283
LMFA01010018	C01530
LMFA01050352	C00418
LMPR0102090058	C11402
LMFA01030185	C06429
LMST04010003	C03990
